published_date,open,high,low,close,per_change,traded_quantity,traded_amount,stock
2017-01-01,526.0,555.0,535.0,545.0,3.61,18373.0,10076866.0,ADBL
2017-01-02,545.0,560.0,545.0,545.0,0.0,19457.0,10709727.0,ADBL
2017-01-03,545.0,550.0,530.0,530.0,-2.75,8202.0,4415197.0,ADBL
2017-01-04,530.0,535.0,510.0,530.0,0.0,6130.0,3225775.0,ADBL
2017-01-05,530.0,533.0,520.0,528.0,-0.38,8287.0,4378949.0,ADBL
2017-01-08,528.0,529.0,520.0,524.0,-0.76,5593.0,2926079.0,ADBL
2017-01-09,524.0,540.0,521.0,540.0,3.05,5545.0,2947042.0,ADBL
2017-01-10,540.0,550.0,540.0,540.0,0.0,4148.0,2249676.0,ADBL
2017-01-11,540.0,550.0,540.0,540.0,0.0,8359.0,4558612.0,ADBL
2017-01-12,540.0,546.0,531.0,542.0,0.37,5428.0,2925146.0,ADBL
2017-01-15,542.0,542.0,530.0,534.0,-1.48,2339.0,1253888.0,ADBL
2017-01-16,534.0,536.0,527.0,527.0,-1.31,2058.0,1091490.0,ADBL
2017-01-17,527.0,529.0,523.0,523.0,-0.76,3270.0,1719022.0,ADBL
2017-01-18,523.0,530.0,520.0,520.0,-0.57,3386.0,1783070.0,ADBL
2017-01-19,520.0,529.0,521.0,528.0,1.54,1913.0,1002025.0,ADBL
2017-01-22,528.0,531.0,526.0,526.0,-0.38,2773.0,1466139.0,ADBL
2017-01-23,526.0,524.0,520.0,520.0,-1.14,2679.0,1395359.0,ADBL
2017-01-24,520.0,530.0,500.0,508.0,-2.31,7839.0,4008784.0,ADBL
2017-01-25,508.0,505.0,480.0,490.0,-3.54,25727.0,12653108.0,ADBL
2017-01-26,490.0,490.0,455.0,460.0,-6.12,33136.0,15482268.0,ADBL
2017-01-30,460.0,465.0,442.0,442.0,-3.91,12799.0,5774559.0,ADBL
2017-01-31,442.0,464.0,435.0,458.0,3.62,11409.0,5152834.0,ADBL
2017-02-01,458.0,485.0,465.0,483.0,5.46,9886.0,4711204.0,ADBL
2017-02-02,483.0,500.0,480.0,483.0,0.0,15620.0,7632898.0,ADBL
2017-02-05,483.0,492.0,470.0,470.0,-2.69,3121.0,1489850.0,ADBL
2017-02-06,470.0,468.0,455.0,455.0,-3.19,5122.0,2362049.0,ADBL
2017-02-07,455.0,463.0,451.0,455.0,0.0,4245.0,1938381.0,ADBL
2017-02-08,455.0,460.0,448.0,450.0,-1.1,9700.0,4386164.0,ADBL
2017-02-09,450.0,453.0,440.0,445.0,-1.11,12428.0,5537810.0,ADBL
2017-02-12,445.0,453.0,416.0,429.0,-3.6,11551.0,4886512.0,ADBL
2017-02-13,429.0,443.0,413.0,440.0,2.56,11039.0,4662838.0,ADBL
2017-02-14,440.0,447.0,424.0,437.0,-0.68,13085.0,5708474.0,ADBL
2017-02-15,437.0,456.0,442.0,453.0,3.66,12899.0,5819825.0,ADBL
2017-02-16,453.0,460.0,450.0,453.0,0.0,16259.0,7356534.0,ADBL
2017-02-19,453.0,452.0,441.0,445.0,-1.77,23260.0,10365716.0,ADBL
2017-02-20,445.0,455.0,440.0,440.0,-1.12,17150.0,7643190.0,ADBL
2017-02-21,440.0,465.0,437.0,439.0,-0.23,18863.0,8376472.0,ADBL
2017-02-22,439.0,442.0,430.0,434.0,-1.14,22813.0,9908821.0,ADBL
2017-02-23,434.0,442.0,427.0,440.0,1.38,14367.0,6260776.0,ADBL
2017-02-26,440.0,445.0,430.0,434.0,-1.36,6391.0,2788327.0,ADBL
2017-02-28,434.0,426.0,417.0,421.0,-3.0,16732.0,7032221.0,ADBL
2017-03-01,421.0,430.0,421.0,430.0,2.14,5008.0,2135041.0,ADBL
2017-03-02,430.0,435.0,425.0,435.0,1.16,5828.0,2521303.0,ADBL
2017-03-05,435.0,448.0,432.0,443.0,1.84,12347.0,5458931.0,ADBL
2017-03-06,443.0,456.0,446.0,449.0,1.35,9615.0,4316175.0,ADBL
2017-03-07,449.0,443.0,439.0,439.0,-2.23,5596.0,2467237.0,ADBL
2017-03-09,439.0,452.0,444.0,445.0,1.37,3547.0,1583560.0,ADBL
2017-03-13,445.0,450.0,440.0,440.0,-1.12,5870.0,2600359.0,ADBL
2017-03-14,440.0,450.0,440.0,441.0,0.23,9273.0,4113210.0,ADBL
2017-03-15,441.0,449.0,443.0,448.0,1.59,3091.0,1376749.0,ADBL
2017-03-16,448.0,452.0,441.0,445.0,-0.67,9046.0,4012644.0,ADBL
2017-03-19,445.0,454.0,445.0,451.0,1.35,10196.0,4592620.0,ADBL
2017-03-20,451.0,465.0,455.0,461.0,2.22,16216.0,7455757.0,ADBL
2017-03-21,461.0,484.0,460.0,484.0,4.99,26819.0,12587312.0,ADBL
2017-03-22,484.0,515.0,485.0,492.0,1.65,45578.0,22838968.0,ADBL
2017-03-23,492.0,514.0,493.0,511.0,3.86,42052.0,21317008.0,ADBL
2017-03-26,511.0,562.0,512.0,562.0,9.98,86224.0,47708756.0,ADBL
2017-03-28,562.0,606.0,573.0,595.0,5.87,63335.0,37423648.0,ADBL
2017-03-29,595.0,615.0,550.0,565.0,-5.04,118955.0,68723664.0,ADBL
2017-03-30,565.0,577.0,555.0,574.0,1.59,151987.0,86067072.0,ADBL
2017-04-02,499.75,538.0,504.0,521.5,-8.7525,102532.75,54331203.0,ADBL
2017-04-03,478.0,525.0,487.0,504.0,-12.2,86048.0,43752580.0,ADBL
2017-04-04,504.0,508.0,480.0,495.0,-1.79,38622.0,19049502.0,ADBL
2017-04-06,495.0,495.0,474.0,482.0,-2.63,42085.0,20121788.0,ADBL
2017-04-09,482.0,485.0,470.0,472.0,-2.07,26361.0,12443931.0,ADBL
2017-04-10,472.0,485.0,467.0,471.0,-0.21,24705.0,11622539.0,ADBL
2017-04-11,471.0,494.0,470.0,489.0,3.82,29427.0,14275730.0,ADBL
2017-04-12,489.0,500.0,480.0,480.0,-1.84,43976.0,21570036.0,ADBL
2017-04-13,480.0,482.0,468.0,472.0,-1.67,25576.0,12157715.0,ADBL
2017-04-16,472.0,481.0,457.0,460.0,-2.54,14433.0,6817342.0,ADBL
2017-04-18,460.0,460.0,443.0,450.0,-2.17,26897.0,12146144.0,ADBL
2017-04-19,450.0,469.0,453.0,463.0,2.89,15551.0,7173984.0,ADBL
2017-04-20,463.0,483.0,463.0,465.0,0.43,32994.0,15564848.0,ADBL
2017-04-23,465.0,511.0,472.0,472.0,1.51,45549.0,21857592.0,ADBL
2017-04-24,472.0,474.0,466.0,469.0,-0.64,23133.0,10859181.0,ADBL
2017-04-25,469.0,472.0,464.0,469.0,0.0,17195.0,8041381.0,ADBL
2017-04-26,469.0,472.0,465.0,467.0,-0.43,9098.0,4257990.0,ADBL
2017-04-27,467.0,475.0,463.0,466.0,-0.21,15743.0,7381184.0,ADBL
2017-04-30,466.0,470.0,454.0,459.0,-1.5,18728.0,8571257.0,ADBL
2017-05-02,459.0,468.0,445.0,461.0,0.44,22562.0,10244556.0,ADBL
2017-05-03,461.0,478.0,457.0,461.0,0.0,13689.0,6359865.0,ADBL
2017-05-04,461.0,478.0,454.0,460.0,-0.22,10579.0,4862372.0,ADBL
2017-05-07,460.0,464.0,453.0,454.0,-1.3,5619.0,2567369.0,ADBL
2017-05-08,454.0,465.0,446.0,460.0,1.32,16791.0,7593535.0,ADBL
2017-05-09,460.0,461.0,452.0,457.0,-0.65,21081.0,9605186.0,ADBL
2017-05-11,457.0,466.0,461.0,464.0,1.53,12423.0,5755865.0,ADBL
2017-05-15,464.0,471.0,460.0,465.0,0.22,10542.0,4873562.0,ADBL
2017-05-16,465.0,465.0,455.0,456.0,-1.94,7225.0,3308817.0,ADBL
2017-05-17,456.0,460.0,454.0,455.0,-0.22,4811.0,2194661.0,ADBL
2017-05-18,455.0,458.0,450.0,451.0,-0.88,6117.0,2771963.0,ADBL
2017-05-21,451.0,460.0,444.0,450.0,-0.22,10460.0,4687103.0,ADBL
2017-05-22,450.0,450.0,441.0,448.0,-0.44,3174.0,1418900.0,ADBL
2017-05-23,448.0,455.0,443.0,450.0,0.45,6912.0,3118403.0,ADBL
2017-05-24,450.0,456.0,448.0,455.0,1.11,11662.0,5282774.0,ADBL
2017-05-28,455.0,455.0,445.0,450.0,-1.1,9086.0,4093677.0,ADBL
2017-05-30,450.0,450.0,441.0,444.0,-1.33,7182.0,3193641.0,ADBL
2017-05-31,444.0,455.0,439.0,450.0,1.35,8719.0,3870695.0,ADBL
2017-06-01,450.0,459.0,444.0,446.0,-0.89,14518.0,6514331.0,ADBL
2017-06-04,446.0,450.0,440.0,445.0,-0.22,10779.0,4796056.0,ADBL
2017-06-05,445.0,450.0,443.0,443.0,-0.45,12176.0,5438368.0,ADBL
2017-06-06,443.0,458.0,448.0,454.0,2.48,10899.0,4918322.0,ADBL
2017-06-07,454.0,463.0,450.0,453.0,-0.22,14334.0,6502554.0,ADBL
2017-06-08,453.0,452.0,444.0,449.0,-0.88,6842.0,3058885.0,ADBL
2017-06-11,449.0,448.0,440.0,444.0,-1.11,7886.0,3493484.0,ADBL
2017-06-12,444.0,446.0,434.0,445.0,0.23,9184.0,4039315.0,ADBL
2017-06-13,445.0,444.0,435.0,435.0,-2.25,13963.0,6114368.0,ADBL
2017-06-14,435.0,440.0,434.0,435.0,0.0,8869.0,3869751.0,ADBL
2017-06-15,435.0,442.0,432.0,440.0,1.15,15064.0,6569564.0,ADBL
2017-06-18,440.0,440.0,428.0,431.0,-2.05,19261.0,8290076.0,ADBL
2017-06-19,431.0,431.0,417.0,427.0,-0.93,21359.0,9040694.0,ADBL
2017-06-20,427.0,429.0,415.0,423.0,-0.94,12740.0,5380466.0,ADBL
2017-06-21,423.0,425.0,417.0,421.0,-0.47,6334.0,2673676.0,ADBL
2017-06-22,421.0,429.0,420.0,421.0,0.0,16465.0,6949115.0,ADBL
2017-06-25,421.0,426.0,419.0,423.0,0.48,10516.0,4451695.0,ADBL
2017-06-27,423.0,425.0,420.0,422.0,-0.24,11352.0,4795475.0,ADBL
2017-06-28,422.0,428.0,415.0,428.0,1.42,10162.0,4287790.0,ADBL
2017-07-02,428.0,430.0,419.0,428.0,0.0,14946.0,6315356.0,ADBL
2017-07-03,428.0,430.0,420.0,423.0,-1.17,7794.0,3311499.0,ADBL
2017-07-04,423.0,426.0,419.0,420.0,-0.71,13712.0,5768673.0,ADBL
2017-07-05,420.0,425.0,419.0,425.0,1.19,11348.0,4786382.0,ADBL
2017-07-06,425.0,437.0,425.0,437.0,2.82,18660.0,7970364.0,ADBL
2017-07-09,437.0,446.0,430.0,441.0,0.92,20091.0,8794058.0,ADBL
2017-07-10,441.0,440.0,430.0,433.0,-1.81,12785.0,5585373.0,ADBL
2017-07-11,433.0,440.0,430.0,435.0,0.46,9864.0,4318391.0,ADBL
2017-07-12,435.0,440.0,432.0,432.0,-0.69,8794.0,3825056.0,ADBL
2017-07-13,432.0,437.0,430.0,435.0,0.69,12875.0,5549593.0,ADBL
2017-07-16,435.0,435.0,430.0,433.0,-0.46,4465.0,1927023.0,ADBL
2017-07-17,433.0,448.0,433.0,448.0,3.46,16129.0,7096066.0,ADBL
2017-07-18,448.0,472.0,449.0,472.0,5.36,27796.0,12739662.0,ADBL
2017-07-19,472.0,470.0,460.0,460.0,-2.54,21239.0,9884869.0,ADBL
2017-07-20,460.0,465.0,454.0,461.0,0.22,10954.0,5040009.0,ADBL
2017-07-23,461.0,465.0,455.0,459.0,-0.43,16709.0,7668931.0,ADBL
2017-07-24,459.0,460.0,454.0,455.0,-0.87,13393.0,6112032.0,ADBL
2017-07-25,455.0,461.0,454.0,458.0,0.66,16138.0,7380111.0,ADBL
2017-07-26,458.0,460.0,448.0,450.0,-1.75,22953.0,10401083.0,ADBL
2017-07-27,450.0,460.0,450.0,460.0,2.22,11335.0,5133609.0,ADBL
2017-07-30,460.0,461.0,445.0,451.0,-1.96,9537.0,4331121.0,ADBL
2017-07-31,451.0,459.0,450.0,453.0,0.44,12315.0,5598249.0,ADBL
2017-08-01,453.0,469.0,450.0,454.0,0.22,9280.0,4235329.0,ADBL
2017-08-02,454.0,456.0,453.0,454.0,0.0,12168.0,5532203.0,ADBL
2017-08-03,454.0,459.0,450.0,453.0,-0.22,14097.0,6379143.0,ADBL
2017-08-06,453.0,456.0,450.0,454.0,0.22,18930.0,8598441.0,ADBL
2017-08-07,454.0,463.0,452.0,453.0,-0.22,11926.0,5419900.0,ADBL
2017-08-09,453.0,460.0,444.0,450.0,-0.66,17516.0,7934355.0,ADBL
2017-08-10,450.0,454.0,443.0,450.0,0.0,21245.0,9497817.0,ADBL
2017-08-13,450.0,449.0,440.0,445.0,-1.11,14415.0,6423464.0,ADBL
2017-08-15,445.0,446.0,441.0,441.0,-0.9,15104.0,6699557.0,ADBL
2017-08-16,441.0,448.0,442.0,444.0,0.68,11304.0,5021857.0,ADBL
2017-08-17,444.0,449.0,438.0,443.0,-0.23,23326.0,10279553.0,ADBL
2017-08-20,443.0,444.0,435.0,440.0,-0.68,16054.0,7075869.0,ADBL
2017-08-21,440.0,442.0,432.0,438.0,-0.45,5674.0,2474784.0,ADBL
2017-08-22,438.0,442.0,436.0,441.0,0.68,12396.0,5447828.0,ADBL
2017-08-23,441.0,442.0,438.0,441.0,0.0,7718.0,3396666.0,ADBL
2017-08-24,441.0,453.0,434.0,443.0,0.45,11438.0,5093781.0,ADBL
2017-08-27,443.0,451.0,443.0,446.0,0.68,3889.0,1732805.0,ADBL
2017-08-28,446.0,452.0,444.0,446.0,0.0,7897.0,3519687.0,ADBL
2017-08-30,446.0,443.0,435.0,438.0,-1.79,14820.0,6508340.0,ADBL
2017-08-31,438.0,438.0,432.0,437.0,-0.23,15528.0,6769346.0,ADBL
2017-09-04,437.0,439.0,426.0,430.0,-1.6,33009.0,14133477.0,ADBL
2017-09-06,430.0,440.0,425.0,438.0,1.86,11603.0,4994219.0,ADBL
2017-09-07,438.0,438.0,426.0,428.0,-2.28,34082.0,14711435.0,ADBL
2017-09-10,428.0,431.0,423.0,425.0,-0.7,37704.0,16076730.0,ADBL
2017-09-11,425.0,430.0,420.0,424.0,-0.24,17950.0,7592940.0,ADBL
2017-09-12,424.0,426.0,420.0,421.0,-0.71,27903.0,11782776.0,ADBL
2017-09-13,421.0,423.0,418.0,420.0,-0.24,32249.0,13538906.0,ADBL
2017-09-14,420.0,447.0,419.0,447.0,6.43,42524.0,18361184.0,ADBL
2017-09-17,447.0,459.0,438.0,447.0,0.0,49764.0,22001356.0,ADBL
2017-09-18,447.0,452.0,443.0,443.0,-0.89,33400.0,14877419.0,ADBL
2017-09-20,443.0,443.0,435.0,439.0,-0.9,10450.0,4599400.0,ADBL
2017-09-24,439.0,443.0,439.0,441.0,0.46,3718.0,1638796.0,ADBL
2017-09-25,441.0,448.0,440.0,448.0,1.59,2882.0,1272835.0,ADBL
2017-09-26,448.0,449.0,443.0,448.0,0.0,5132.0,2286875.0,ADBL
2017-10-03,448.0,453.0,446.0,453.0,1.12,3164.0,1415634.0,ADBL
2017-10-04,453.0,450.0,437.0,440.0,-2.87,6475.0,2854121.0,ADBL
2017-10-08,440.0,432.0,420.0,432.0,-1.82,15759.0,6712529.0,ADBL
2017-10-09,432.0,433.0,425.0,431.0,-0.23,17649.0,7561101.0,ADBL
2017-10-10,431.0,438.0,423.0,427.0,-0.93,19003.0,8118044.0,ADBL
2017-10-11,427.0,431.0,425.0,428.0,0.23,11993.0,5132940.0,ADBL
2017-10-12,428.0,435.0,428.0,429.0,0.23,5474.0,2357856.0,ADBL
2017-10-15,429.0,433.0,427.0,433.0,0.93,5553.0,2393186.0,ADBL
2017-10-16,433.0,451.0,434.0,442.0,2.08,18696.0,8294486.0,ADBL
2017-10-17,442.0,450.0,436.0,449.0,1.58,12124.0,5388922.0,ADBL
2017-10-18,449.0,450.0,438.0,444.0,-1.11,12688.0,5628714.0,ADBL
2017-10-22,444.0,458.0,436.0,450.0,1.35,11183.0,5051656.0,ADBL
2017-10-23,450.0,455.0,445.0,449.0,-0.22,12644.0,5695162.0,ADBL
2017-10-24,449.0,452.0,445.0,448.0,-0.22,9549.0,4278475.0,ADBL
2017-10-25,448.0,451.0,444.0,449.0,0.22,17137.0,7675865.0,ADBL
2017-10-29,449.0,447.0,440.0,442.0,-1.56,7203.0,3185825.0,ADBL
2017-10-30,442.0,443.0,437.0,437.0,-1.13,13723.0,6029799.0,ADBL
2017-10-31,437.0,440.0,433.0,437.0,0.0,8889.0,3866223.0,ADBL
2017-11-01,437.0,437.0,429.0,434.0,-0.69,6291.0,2725033.0,ADBL
2017-11-02,434.0,442.0,430.0,440.0,1.38,8331.0,3632384.0,ADBL
2017-11-05,440.0,440.0,424.0,430.0,-2.27,16936.0,7255084.0,ADBL
2017-11-06,430.0,430.0,420.0,429.0,-0.23,29796.0,12642926.0,ADBL
2017-11-07,429.0,436.0,420.0,422.0,-1.63,26141.0,11088659.0,ADBL
2017-11-08,422.0,422.0,414.0,416.0,-1.42,17305.0,7217966.0,ADBL
2017-11-09,416.0,427.0,412.0,415.0,-0.24,9434.0,3918031.0,ADBL
2017-11-12,415.0,425.0,415.0,423.0,1.93,9098.0,3815462.0,ADBL
2017-11-13,423.0,428.0,420.0,428.0,1.18,14684.0,6245012.0,ADBL
2017-11-14,428.0,434.0,424.0,432.0,0.93,14580.0,6256963.0,ADBL
2017-11-15,432.0,432.0,426.0,428.0,-0.93,3596.0,1544399.0,ADBL
2017-11-16,428.0,435.0,420.0,420.0,-1.87,13740.0,5797379.0,ADBL
2017-11-19,420.0,422.0,412.0,420.0,0.0,13373.0,5575148.0,ADBL
2017-11-20,420.0,422.0,418.0,421.0,0.24,4579.0,1923518.0,ADBL
2017-11-21,421.0,425.0,421.0,423.0,0.48,4762.0,2015105.0,ADBL
2017-11-22,423.0,429.0,421.0,425.0,0.47,5998.0,2539736.0,ADBL
2017-11-23,425.0,430.0,425.0,425.0,0.0,7260.0,3103718.0,ADBL
