published_date,open,high,low,close,per_change,traded_quantity,traded_amount,stock
2017-01-01,463.0,482.0,469.0,470.0,1.51,23819.0,11335965.0,CZBIL
2017-01-02,470.0,497.0,473.0,495.0,5.32,57360.0,27785160.0,CZBIL
2017-01-03,495.0,504.0,480.0,490.0,-1.01,38706.0,19026284.0,CZBIL
2017-01-04,490.0,495.0,483.0,487.0,-0.61,10617.0,5196705.0,CZBIL
2017-01-05,487.0,496.0,485.0,487.0,0.0,23422.0,11460681.0,CZBIL
2017-01-08,487.0,489.0,470.0,478.0,-1.85,64037.0,30324544.0,CZBIL
2017-01-09,478.0,487.0,472.0,481.0,0.63,27127.0,12988498.0,CZBIL
2017-01-10,481.0,490.0,481.0,489.0,1.66,9787.0,4767734.0,CZBIL
2017-01-11,489.0,505.0,475.0,485.0,-0.82,16930.0,8193930.0,CZBIL
2017-01-12,485.0,490.0,483.0,490.0,1.03,13927.0,6762469.0,CZBIL
2017-01-15,490.0,488.0,478.0,480.0,-2.04,24037.0,11567504.0,CZBIL
2017-01-16,480.0,482.0,478.0,478.0,-0.42,15176.0,7275108.0,CZBIL
2017-01-17,478.0,488.0,475.0,488.0,2.09,8380.0,4037041.0,CZBIL
2017-01-18,488.0,490.0,478.0,480.0,-1.64,11593.0,5574255.0,CZBIL
2017-01-19,480.0,482.0,475.0,477.0,-0.62,14819.0,7088247.0,CZBIL
2017-01-22,477.0,480.0,474.0,475.0,-0.42,9577.0,4562775.0,CZBIL
2017-01-23,475.0,475.0,466.0,467.0,-1.68,24004.0,11250194.0,CZBIL
2017-01-24,467.0,476.0,456.0,456.0,-2.36,14259.0,6550724.0,CZBIL
2017-01-25,456.0,459.0,439.0,444.0,-2.63,18426.0,8235177.0,CZBIL
2017-01-26,444.0,455.0,428.0,436.0,-1.8,27168.0,11866982.0,CZBIL
2017-01-30,436.0,432.0,415.0,416.0,-4.59,29106.0,12225344.0,CZBIL
2017-01-31,416.0,434.0,405.0,420.0,0.96,22900.0,9588732.0,CZBIL
2017-02-01,420.0,459.0,426.0,459.0,9.29,24159.0,10644695.0,CZBIL
2017-02-02,459.0,485.0,441.0,446.0,-2.83,29170.0,13287387.0,CZBIL
2017-02-05,446.0,446.0,430.0,440.0,-1.35,4464.0,1964484.0,CZBIL
2017-02-06,440.0,443.0,425.0,440.0,0.0,13798.0,5966612.0,CZBIL
2017-02-07,440.0,448.0,432.0,440.0,0.0,16074.0,7043106.0,CZBIL
2017-02-08,440.0,440.0,427.0,430.0,-2.27,11339.0,4889162.0,CZBIL
2017-02-09,430.0,435.0,420.0,422.0,-1.86,28714.0,12226787.0,CZBIL
2017-02-12,422.0,422.0,406.0,409.0,-3.08,23643.0,9696869.0,CZBIL
2017-02-13,409.0,432.0,393.0,425.0,3.91,32261.0,13048143.0,CZBIL
2017-02-14,425.0,430.0,404.0,423.0,-0.47,23162.0,9747982.0,CZBIL
2017-02-15,423.0,435.0,423.0,434.0,2.6,19976.0,8568173.0,CZBIL
2017-02-16,434.0,447.0,430.0,437.0,0.69,27387.0,11939521.0,CZBIL
2017-02-19,437.0,445.0,429.0,443.0,1.37,33227.0,14541508.0,CZBIL
2017-02-20,443.0,462.0,437.0,439.0,-0.9,22175.0,9825370.0,CZBIL
2017-02-21,439.0,450.0,433.0,439.0,0.0,24523.0,10768314.0,CZBIL
2017-02-22,439.0,437.0,428.0,434.0,-1.14,10960.0,4738615.0,CZBIL
2017-02-23,434.0,434.0,425.0,425.0,-2.07,11572.0,4953931.0,CZBIL
2017-02-26,425.0,431.0,420.0,423.0,-0.47,10685.0,4521614.0,CZBIL
2017-02-28,423.0,424.0,415.0,422.0,-0.24,16896.0,7078122.0,CZBIL
2017-03-01,422.0,432.0,422.0,430.0,1.9,11877.0,5075748.0,CZBIL
2017-03-02,430.0,439.0,430.0,438.0,1.86,21289.0,9239104.0,CZBIL
2017-03-05,438.0,448.0,440.0,444.0,1.37,43559.0,19388124.0,CZBIL
2017-03-06,444.0,452.0,442.0,444.0,0.0,36020.0,16114756.0,CZBIL
2017-03-07,444.0,444.0,433.0,435.0,-2.03,83581.0,36525640.0,CZBIL
2017-03-09,368.0,371.0,354.0,371.0,-14.71,24470.0,8937636.0,CZBIL
2017-03-13,371.0,380.0,365.0,377.0,1.62,11320.0,4253977.0,CZBIL
2017-03-14,377.0,380.0,372.0,372.0,-1.33,10219.0,3819225.0,CZBIL
2017-03-15,372.0,378.0,365.0,371.0,-0.27,6903.0,2554789.0,CZBIL
2017-03-16,371.0,379.0,370.0,374.0,0.81,11493.0,4313938.0,CZBIL
2017-03-19,374.0,380.0,371.0,378.0,1.07,12167.0,4580200.0,CZBIL
2017-03-20,378.0,391.0,380.0,385.0,1.85,19180.0,7371950.0,CZBIL
2017-03-21,385.0,405.0,374.0,405.0,5.19,76368.0,29598404.0,CZBIL
2017-03-22,405.0,426.0,408.0,413.0,1.98,34804.0,14607101.0,CZBIL
2017-03-23,413.0,420.0,405.0,410.0,-0.73,20629.0,8477451.0,CZBIL
2017-03-26,410.0,429.0,400.0,420.0,2.44,37702.0,15657281.0,CZBIL
2017-03-28,420.0,444.0,420.0,431.0,2.62,23529.0,10144388.0,CZBIL
2017-03-29,431.0,465.0,424.0,429.0,-0.46,59715.0,26190392.0,CZBIL
2017-03-30,429.0,435.0,412.0,427.0,-0.47,32565.0,13771265.0,CZBIL
2017-04-02,427.0,450.0,430.0,450.0,5.39,25513.0,11115622.0,CZBIL
2017-04-03,450.0,469.0,434.0,435.0,-3.33,54700.0,24649044.0,CZBIL
2017-04-04,435.0,460.0,424.0,437.0,0.46,24315.0,10669513.0,CZBIL
2017-04-06,437.0,448.0,427.0,431.0,-1.37,31692.0,13688196.0,CZBIL
2017-04-09,431.0,443.0,425.0,427.0,-0.93,34452.0,14768535.0,CZBIL
2017-04-10,427.0,430.0,422.0,427.0,0.0,24873.0,10563083.0,CZBIL
2017-04-11,427.0,450.0,427.0,438.0,2.58,28019.0,12269826.0,CZBIL
2017-04-12,438.0,448.0,436.0,440.0,0.46,28426.0,12579177.0,CZBIL
2017-04-13,440.0,443.0,430.0,440.0,0.0,29088.0,12687814.0,CZBIL
2017-04-16,440.0,445.0,426.0,426.0,-3.18,35653.0,15477398.0,CZBIL
2017-04-18,426.0,425.0,410.0,413.0,-3.05,26884.0,11137600.0,CZBIL
2017-04-19,413.0,435.0,412.0,433.0,4.84,21687.0,9090980.0,CZBIL
2017-04-20,433.0,440.0,424.0,427.0,-1.39,22229.0,9529886.0,CZBIL
2017-04-23,427.0,451.0,426.0,435.0,1.87,27028.0,11860981.0,CZBIL
2017-04-24,435.0,438.0,423.0,424.0,-2.53,16675.0,7128896.0,CZBIL
2017-04-25,424.0,427.0,417.0,420.0,-0.94,23374.0,9838755.0,CZBIL
2017-04-26,420.0,421.0,415.0,415.0,-1.19,10145.0,4238792.0,CZBIL
2017-04-27,415.0,419.0,410.0,412.0,-0.72,14566.0,6035532.0,CZBIL
2017-04-30,412.0,418.0,404.0,405.0,-1.7,33365.0,13588497.0,CZBIL
2017-05-02,405.0,416.0,400.0,405.0,0.0,28119.0,11469379.0,CZBIL
2017-05-03,405.0,421.0,400.0,408.0,0.74,38983.0,15806296.0,CZBIL
2017-05-04,408.0,414.0,402.0,402.0,-1.47,18020.0,7309215.0,CZBIL
2017-05-07,402.0,410.0,398.0,400.0,-0.5,12469.0,5016502.0,CZBIL
2017-05-08,400.0,407.0,400.0,402.0,0.5,8339.0,3362812.0,CZBIL
2017-05-09,402.0,405.0,397.0,402.0,0.0,17825.0,7134710.0,CZBIL
2017-05-11,402.0,405.0,400.0,403.0,0.25,18308.0,7355014.0,CZBIL
2017-05-15,403.0,406.0,402.0,403.0,0.0,10373.0,4190477.0,CZBIL
2017-05-16,403.0,404.0,400.0,402.0,-0.25,5893.0,2371252.0,CZBIL
2017-05-17,402.0,405.0,398.0,400.0,-0.5,8418.0,3374897.0,CZBIL
2017-05-18,400.0,401.0,396.0,400.0,0.0,29557.0,11822814.0,CZBIL
2017-05-21,400.0,408.0,390.0,397.0,-0.75,11705.0,4632186.0,CZBIL
2017-05-22,397.0,404.0,385.0,390.0,-1.76,13622.0,5366859.0,CZBIL
2017-05-23,390.0,400.0,394.0,399.0,2.31,10617.0,4216215.0,CZBIL
2017-05-24,399.0,400.0,393.0,396.0,-0.75,11460.0,4555404.0,CZBIL
2017-05-28,396.0,400.0,389.0,390.0,-1.52,24899.0,9749003.0,CZBIL
2017-05-30,390.0,399.0,380.0,386.0,-1.03,11517.0,4440486.0,CZBIL
2017-05-31,386.0,395.0,385.0,392.0,1.55,10160.0,3957514.0,CZBIL
2017-06-01,392.0,399.0,391.0,392.0,0.0,14561.0,5751730.0,CZBIL
2017-06-04,392.0,395.0,387.0,390.0,-0.51,8662.0,3369200.0,CZBIL
2017-06-05,390.0,400.0,390.0,395.0,1.28,13826.0,5433066.0,CZBIL
2017-06-06,395.0,405.0,396.0,400.0,1.27,22855.0,9156347.0,CZBIL
2017-06-07,400.0,408.0,398.0,398.0,-0.5,11914.0,4787370.0,CZBIL
2017-06-08,398.0,400.0,390.0,398.0,0.0,12734.0,5023821.0,CZBIL
2017-06-11,398.0,399.0,385.0,388.0,-2.51,10166.0,3966643.0,CZBIL
2017-06-12,388.0,395.0,386.0,387.0,-0.26,6642.0,2588597.0,CZBIL
2017-06-13,387.0,390.0,378.0,388.0,0.26,9112.0,3519979.0,CZBIL
2017-06-14,388.0,390.0,381.0,383.0,-1.29,7711.0,2976391.0,CZBIL
2017-06-15,383.0,390.0,377.0,390.0,1.83,12663.0,4873527.0,CZBIL
2017-06-18,390.0,392.0,378.0,380.0,-2.56,12869.0,4909218.0,CZBIL
2017-06-19,380.0,380.0,371.0,373.0,-1.84,14471.0,5405258.0,CZBIL
2017-06-20,373.0,380.0,365.0,375.0,0.54,13366.0,4979857.0,CZBIL
2017-06-21,375.0,380.0,370.0,375.0,0.0,8347.0,3140841.0,CZBIL
2017-06-22,375.0,381.0,375.0,380.0,1.33,13326.0,5034536.0,CZBIL
2017-06-25,380.0,385.0,381.0,381.0,0.26,13814.0,5286203.0,CZBIL
2017-06-27,381.0,385.0,380.0,382.0,0.26,10485.0,3998908.0,CZBIL
2017-06-28,382.0,380.0,377.0,380.0,-0.52,12619.0,4778278.0,CZBIL
2017-07-02,380.0,380.0,370.0,373.0,-1.84,11406.0,4244615.0,CZBIL
2017-07-03,373.0,379.0,370.0,372.0,-0.27,10551.0,3921495.0,CZBIL
2017-07-04,372.0,374.0,370.0,374.0,0.54,9968.0,3701037.0,CZBIL
2017-07-05,374.0,383.0,375.0,383.0,2.41,8382.0,3161522.0,CZBIL
2017-07-06,383.0,391.0,380.0,390.0,1.83,27926.0,10799475.0,CZBIL
2017-07-09,390.0,408.0,393.0,400.0,2.56,33780.0,13523055.0,CZBIL
2017-07-10,400.0,401.0,392.0,398.0,-0.5,19465.0,7737359.0,CZBIL
2017-07-11,398.0,400.0,390.0,400.0,0.5,14369.0,5681033.0,CZBIL
2017-07-12,400.0,404.0,392.0,404.0,1.0,10786.0,4305684.0,CZBIL
2017-07-13,404.0,407.0,400.0,403.0,-0.25,21615.0,8748122.0,CZBIL
2017-07-16,403.0,406.0,400.0,402.0,-0.25,8893.0,3585704.0,CZBIL
2017-07-17,402.0,406.0,394.0,406.0,1.0,8903.0,3587129.0,CZBIL
2017-07-18,406.0,411.0,405.0,409.0,0.74,9418.0,3837824.0,CZBIL
2017-07-19,409.0,412.0,403.0,412.0,0.73,24167.0,9870544.0,CZBIL
2017-07-20,412.0,410.0,406.0,408.0,-0.97,17016.0,6944987.0,CZBIL
2017-07-23,408.0,400.0,389.0,393.0,-3.68,43921.0,17265988.0,CZBIL
2017-07-24,393.0,390.0,385.0,388.0,-1.27,19018.0,7358020.0,CZBIL
2017-07-25,388.0,393.0,381.0,384.0,-1.03,12759.0,4932354.0,CZBIL
2017-07-26,384.0,385.0,379.0,384.0,0.0,27472.0,10450873.0,CZBIL
2017-07-27,384.0,386.0,379.0,380.0,-1.04,22159.0,8446335.0,CZBIL
2017-07-30,380.0,383.0,375.0,378.0,-0.53,23049.0,8759034.0,CZBIL
