published_date,open,high,low,close,per_change,traded_quantity,traded_amount,stock
2017-01-01,1710.0,1820.0,1740.0,1805.0,5.56,15605.0,28040992.0,EBL
2017-01-02,1805.0,1849.0,1807.0,1849.0,2.44,16816.0,30864652.0,EBL
2017-01-03,1849.0,1850.0,1800.0,1825.0,-1.3,15101.0,27704984.0,EBL
2017-01-04,1825.0,1820.0,1800.0,1800.0,-1.37,10676.0,19256910.0,EBL
2017-01-05,1800.0,1840.0,1810.0,1825.0,1.39,8780.0,16030048.0,EBL
2017-01-08,1825.0,1835.0,1820.0,1835.0,0.55,8118.0,14843375.0,EBL
2017-01-09,1835.0,1860.0,1830.0,1850.0,0.82,4900.0,9050807.0,EBL
2017-01-10,1850.0,1937.0,1852.0,1919.0,3.73,5559.0,10570845.0,EBL
2017-01-11,1919.0,1957.0,1925.0,1925.0,0.31,12013.0,23326292.0,EBL
2017-01-12,1925.0,1950.0,1925.0,1925.0,0.0,5513.0,10651749.0,EBL
2017-01-15,1925.0,1939.0,1920.0,1939.0,0.73,3244.0,6272694.0,EBL
2017-01-16,1939.0,1944.0,1915.0,1915.0,-1.24,3338.0,6442249.0,EBL
2017-01-17,1915.0,1905.0,1887.0,1900.0,-0.78,3601.0,6834295.0,EBL
2017-01-18,1900.0,1900.0,1880.0,1896.0,-0.21,1478.0,2804182.0,EBL
2017-01-19,1896.0,1910.0,1891.0,1894.0,-0.11,4481.0,8501150.0,EBL
2017-01-22,1894.0,1900.0,1880.0,1900.0,0.32,2075.0,3916345.0,EBL
2017-01-23,1900.0,1900.0,1870.0,1885.0,-0.79,4996.0,9390941.0,EBL
2017-01-24,1885.0,1870.0,1840.0,1840.0,-2.39,3692.0,6864740.0,EBL
2017-01-25,1840.0,1820.0,1720.0,1780.0,-3.26,5827.0,10366658.0,EBL
2017-01-26,1780.0,1780.0,1695.0,1740.0,-2.25,9888.0,17134520.0,EBL
2017-01-30,1740.0,1730.0,1651.0,1685.0,-3.16,9403.0,15713957.0,EBL
2017-01-31,1685.0,1780.0,1661.0,1715.0,1.78,6676.0,11419094.0,EBL
2017-02-01,1715.0,1800.0,1749.0,1770.0,3.21,7105.0,12630254.0,EBL
2017-02-02,1770.0,1820.0,1760.0,1763.0,-0.4,7053.0,12551045.0,EBL
2017-02-05,1763.0,1763.0,1700.0,1750.0,-0.74,1854.0,3225376.0,EBL
2017-02-06,1750.0,1765.0,1745.0,1745.0,-0.29,3036.0,5325039.0,EBL
2017-02-07,1745.0,1750.0,1725.0,1725.0,-1.15,7305.0,12674130.0,EBL
2017-02-08,1725.0,1730.0,1686.0,1698.0,-1.57,11861.0,20153194.0,EBL
2017-02-09,1698.0,1699.0,1665.0,1665.0,-1.94,9545.0,16032775.0,EBL
2017-02-12,1665.0,1660.0,1600.0,1615.0,-3.0,8855.0,14425357.0,EBL
2017-02-13,1615.0,1650.0,1566.0,1641.0,1.61,8331.0,13297859.0,EBL
2017-02-14,1641.0,1670.0,1610.0,1655.0,0.85,6617.0,10862226.0,EBL
2017-02-15,1655.0,1709.0,1650.0,1707.0,3.14,7379.0,12397470.0,EBL
2017-02-16,1707.0,1760.0,1700.0,1726.0,1.11,9877.0,17115050.0,EBL
2017-02-19,1726.0,1750.0,1706.0,1745.0,1.1,6419.0,11137046.0,EBL
2017-02-20,1745.0,1805.0,1740.0,1763.0,1.03,8380.0,14821760.0,EBL
2017-02-21,1763.0,1820.0,1735.0,1740.0,-1.3,5584.0,9886059.0,EBL
2017-02-22,1740.0,1765.0,1706.0,1719.0,-1.21,2555.0,4424540.0,EBL
2017-02-23,1719.0,1730.0,1685.0,1710.0,-0.52,6856.0,11678111.0,EBL
2017-02-26,1710.0,1730.0,1696.0,1710.0,0.0,6117.0,10410768.0,EBL
2017-02-28,1710.0,1700.0,1680.0,1681.0,-1.7,6173.0,10413125.0,EBL
2017-03-01,1681.0,1746.0,1700.0,1700.0,1.13,3305.0,5639818.0,EBL
2017-03-02,1700.0,1720.0,1700.0,1714.0,0.82,3316.0,5663977.0,EBL
2017-03-05,1714.0,1751.0,1725.0,1740.0,1.52,3347.0,5843943.0,EBL
2017-03-06,1740.0,1758.0,1739.0,1742.0,0.11,3999.0,6988499.0,EBL
2017-03-07,1742.0,1730.0,1709.0,1727.0,-0.86,2926.0,5035855.0,EBL
2017-03-09,1727.0,1735.0,1730.0,1730.0,0.17,2681.0,4642662.0,EBL
2017-03-13,1730.0,1740.0,1730.0,1740.0,0.58,2385.0,4132665.0,EBL
2017-03-14,1740.0,1740.0,1715.0,1716.0,-1.38,3337.0,5759263.0,EBL
2017-03-15,1716.0,1730.0,1700.0,1723.0,0.41,3733.0,6402634.0,EBL
2017-03-16,1723.0,1735.0,1715.0,1715.0,-0.46,2636.0,4547245.0,EBL
2017-03-19,1715.0,1730.0,1710.0,1723.0,0.47,5127.0,8805388.0,EBL
2017-03-20,1723.0,1760.0,1745.0,1758.0,2.03,5197.0,9108750.0,EBL
2017-03-21,1758.0,1809.0,1750.0,1800.0,2.39,7666.0,13630403.0,EBL
2017-03-22,1800.0,1890.0,1815.0,1835.0,1.94,12493.0,23159220.0,EBL
2017-03-23,1835.0,1850.0,1810.0,1850.0,0.82,8004.0,14683168.0,EBL
2017-03-26,1850.0,1892.0,1835.0,1876.0,1.41,17283.0,32342888.0,EBL
2017-03-28,1876.0,1989.0,1900.0,1989.0,6.02,9601.0,18534856.0,EBL
2017-03-29,1989.0,2030.0,1950.0,1960.0,-1.46,22767.0,45081240.0,EBL
2017-03-30,1960.0,1999.0,1900.0,1945.0,-0.77,9238.0,17869456.0,EBL
2017-04-02,1945.0,2014.0,1950.0,2014.0,3.55,9308.0,18359012.0,EBL
2017-04-03,2014.0,2140.0,1990.0,2000.0,-0.7,15591.0,32153500.0,EBL
2017-04-04,2000.0,2010.0,1940.0,1994.0,-0.3,13813.0,27270120.0,EBL
2017-04-06,1994.0,2010.0,1975.0,2000.0,0.3,18388.0,36767328.0,EBL
2017-04-09,2000.0,2060.0,1990.0,2045.0,2.25,20148.0,40456248.0,EBL
2017-04-10,2045.0,2100.0,2030.0,2075.0,1.47,16618.0,34501764.0,EBL
2017-04-11,2075.0,2142.0,2085.0,2100.0,1.2,17207.0,36319160.0,EBL
2017-04-12,2100.0,2140.0,2080.0,2082.0,-0.86,19474.0,41141940.0,EBL
2017-04-13,2082.0,2100.0,2000.0,2080.0,-0.1,7507.0,15529578.0,EBL
2017-04-16,2080.0,2100.0,2030.0,2049.0,-1.49,6466.0,13255141.0,EBL
2017-04-18,2049.0,2009.0,1845.0,1845.0,-9.96,38872.0,72761336.0,EBL
2017-04-19,1845.0,1950.0,1781.0,1925.0,4.34,15738.0,29107696.0,EBL
2017-04-20,1925.0,1960.0,1853.0,1871.0,-2.81,15995.0,30394218.0,EBL
2017-04-23,1871.0,1950.0,1892.0,1910.0,2.08,13822.0,26519296.0,EBL
2017-04-24,1910.0,1948.0,1881.0,1890.0,-1.05,5702.0,10822451.0,EBL
2017-04-25,1890.0,1900.0,1843.0,1880.0,-0.53,3552.0,6665105.0,EBL
2017-04-26,1880.0,1880.0,1869.0,1869.0,-0.59,3451.0,6474275.0,EBL
2017-04-27,1869.0,1885.0,1851.0,1885.0,0.86,8111.0,15204338.0,EBL
2017-04-30,1885.0,1899.0,1848.0,1851.0,-1.8,2862.0,5340102.0,EBL
2017-05-02,1851.0,1865.0,1819.0,1860.0,0.49,5178.0,9559694.0,EBL
2017-05-03,1860.0,1886.0,1790.0,1801.0,-3.17,16393.0,29841700.0,EBL
2017-05-04,1801.0,1890.0,1820.0,1843.0,2.33,11922.0,21929792.0,EBL
2017-05-07,1843.0,1841.0,1811.0,1820.0,-1.25,7045.0,12849060.0,EBL
2017-05-08,1820.0,1826.0,1806.0,1812.0,-0.44,4127.0,7490529.0,EBL
2017-05-09,1812.0,1829.0,1810.0,1820.0,0.44,2569.0,4681530.0,EBL
2017-05-11,1820.0,1823.0,1797.0,1803.0,-0.93,8093.0,14578325.0,EBL
2017-05-15,1803.0,1810.0,1786.0,1790.0,-0.72,10873.0,19530200.0,EBL
2017-05-16,1790.0,1800.0,1766.0,1770.0,-1.12,7073.0,12561599.0,EBL
2017-05-17,1770.0,1800.0,1758.0,1760.0,-0.56,6310.0,11143935.0,EBL
2017-05-18,1760.0,1765.0,1746.0,1750.0,-0.57,8446.0,14796949.0,EBL
2017-05-21,1750.0,1775.0,1710.0,1715.0,-2.0,7858.0,13572162.0,EBL
2017-05-22,1715.0,1700.0,1666.0,1677.0,-2.22,7425.0,12456773.0,EBL
2017-05-23,1677.0,1700.0,1675.0,1690.0,0.78,13086.0,22107116.0,EBL
2017-05-24,1690.0,1700.0,1665.0,1698.0,0.47,7987.0,13434449.0,EBL
2017-05-28,1698.0,1700.0,1670.0,1679.0,-1.12,8035.0,13541490.0,EBL
2017-05-30,1679.0,1680.0,1651.0,1665.0,-0.83,9628.0,16031889.0,EBL
2017-05-31,1665.0,1700.0,1650.0,1690.0,1.5,8459.0,14168195.0,EBL
