published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,stock
2017-01-01,401.0,420.0,408.0,410.0,2.24,12664.0,5236957.0,0.0,MBL
2017-01-02,410.0,420.0,414.0,418.0,1.95,10265.0,4282057.0,0.0,MBL
2017-01-03,418.0,418.0,406.0,406.0,-2.87,9471.0,3883486.0,0.0,MBL
2017-01-04,406.0,408.0,399.0,402.0,-0.99,7641.0,3077442.0,0.0,MBL
2017-01-05,402.0,410.0,400.0,401.0,-0.25,9924.0,4003299.0,0.0,MBL
2017-01-08,401.0,407.0,400.0,402.0,0.25,9602.0,3850421.0,0.0,MBL
2017-01-09,402.0,413.0,400.0,407.0,1.24,2165.0,872299.0,0.0,MBL
2017-01-10,407.0,409.0,405.0,406.0,-0.25,9314.0,3794418.0,0.0,MBL
2017-01-11,406.0,410.0,395.0,400.0,-1.48,5411.0,2182150.0,0.0,MBL
2017-01-12,400.0,408.0,400.0,402.0,0.5,4595.0,1841592.0,0.0,MBL
2017-01-15,402.0,403.0,395.0,395.0,-1.74,7791.0,3100248.0,0.0,MBL
2017-01-16,395.0,398.0,393.0,395.0,0.0,5336.0,2107277.0,0.0,MBL
2017-01-17,395.0,396.0,391.0,394.0,-0.25,7307.0,2870006.0,0.0,MBL
2017-01-18,394.0,395.0,390.0,392.0,-0.51,3654.0,1429834.0,0.0,MBL
2017-01-19,392.0,395.0,390.0,392.0,0.0,6596.0,2578227.0,0.0,MBL
2017-01-22,392.0,399.0,390.0,394.0,0.51,1988.0,781872.0,0.0,MBL
2017-01-23,394.0,392.0,386.0,386.0,-2.03,6015.0,2340024.0,0.0,MBL
2017-01-24,386.0,385.0,380.0,380.0,-1.55,18071.0,6892595.0,0.0,MBL
2017-01-25,380.0,386.0,360.0,363.0,-4.47,12660.0,4648024.0,0.0,MBL
2017-01-26,363.0,372.0,349.0,361.0,-0.55,18656.0,6640101.0,0.0,MBL
2017-01-30,361.0,368.0,340.0,348.0,-3.6,13494.0,4691273.0,0.0,MBL
2017-01-31,348.0,362.0,340.0,350.0,0.57,10242.0,3590002.0,0.0,MBL
2017-02-01,350.0,375.0,350.0,375.0,7.14,15833.0,5720113.0,0.0,MBL
2017-02-02,375.0,395.0,375.0,378.0,0.8,16919.0,6456940.0,0.0,MBL
2017-02-05,378.0,378.0,364.0,372.0,-1.59,4814.0,1780195.0,0.0,MBL
2017-02-06,372.0,374.0,351.0,360.0,-3.23,13517.0,4872417.0,0.0,MBL
2017-02-07,360.0,368.0,357.0,364.0,1.11,11881.0,4306058.0,0.0,MBL
2017-02-08,364.0,363.0,357.0,363.0,-0.27,11066.0,3983244.0,0.0,MBL
2017-02-09,363.0,365.0,348.0,350.0,-3.58,16308.0,5806519.0,0.0,MBL
2017-02-12,350.0,350.0,331.0,331.0,-5.43,14895.0,5026200.0,0.0,MBL
2017-02-13,331.0,345.0,321.0,340.0,2.72,14763.0,4866488.0,0.0,MBL
2017-02-14,340.0,351.0,335.0,348.0,2.35,12961.0,4472020.0,0.0,MBL
2017-02-15,348.0,366.0,347.0,363.0,4.31,15329.0,5440686.0,0.0,MBL
2017-02-16,363.0,377.0,360.0,370.0,1.93,36885.0,13532484.0,0.0,MBL
2017-02-19,370.0,391.0,360.0,381.0,2.97,14160.0,5331106.0,0.0,MBL
2017-02-20,381.0,400.0,380.0,381.0,0.0,19290.0,7461318.0,0.0,MBL
2017-02-21,381.0,390.0,368.0,372.0,-2.36,15240.0,5799909.0,0.0,MBL
2017-02-22,372.0,380.0,365.0,375.0,0.81,6115.0,2264972.0,0.0,MBL
2017-02-23,375.0,371.0,364.0,367.0,-2.13,8960.0,3297832.0,0.0,MBL
2017-02-26,367.0,373.0,360.0,360.0,-1.91,3669.0,1331907.0,0.0,MBL
2017-02-28,360.0,360.0,348.0,353.0,-1.94,17243.0,6060079.0,0.0,MBL
2017-03-01,353.0,363.0,355.0,362.0,2.55,7057.0,2531771.0,0.0,MBL
2017-03-02,362.0,371.0,359.0,359.0,-0.83,8050.0,2905584.0,0.0,MBL
2017-03-05,359.0,369.0,364.0,368.0,2.51,8157.0,2983304.0,0.0,MBL
2017-03-06,368.0,376.0,366.0,366.0,-0.54,11235.0,4149386.0,0.0,MBL
2017-03-07,366.0,365.0,355.0,360.0,-1.64,10310.0,3711762.0,0.0,MBL
2017-03-09,360.0,367.0,362.0,363.0,0.83,5128.0,1866921.0,0.0,MBL
2017-03-13,363.0,365.0,355.0,357.0,-1.65,8380.0,2999313.0,0.0,MBL
2017-03-14,357.0,357.0,350.0,350.0,-1.96,18557.0,6541056.0,0.0,MBL
2017-03-15,350.0,357.0,347.0,350.0,0.0,14003.0,4912651.0,0.0,MBL
2017-03-16,350.0,360.0,351.0,355.0,1.43,8029.0,2854146.0,0.0,MBL
2017-03-19,355.0,360.0,355.0,358.0,0.85,8966.0,3199946.0,0.0,MBL
2017-03-20,358.0,375.0,357.0,366.0,2.23,18154.0,6649099.0,0.0,MBL
2017-03-21,366.0,391.0,365.0,391.0,6.83,22174.0,8345840.0,0.0,MBL
2017-03-22,391.0,410.0,385.0,392.0,0.26,23485.0,9419311.0,0.0,MBL
2017-03-23,392.0,408.0,386.0,398.0,1.53,10229.0,4053427.0,0.0,MBL
2017-03-26,398.0,421.0,401.0,412.0,3.52,24065.0,9822785.0,0.0,MBL
2017-03-28,412.0,433.0,410.0,433.0,5.1,29259.0,12326682.0,0.0,MBL
2017-03-29,433.0,449.0,412.0,426.0,-1.62,23556.0,10156043.0,0.0,MBL
2017-03-30,426.0,434.0,411.0,423.0,-0.7,10683.0,4500564.0,0.0,MBL
2017-04-02,423.0,460.0,430.0,460.0,8.75,10415.0,4620788.0,0.0,MBL
2017-04-03,460.0,495.0,443.0,450.0,-2.17,41754.0,19606424.0,0.0,MBL
2017-04-04,450.0,453.0,434.0,441.0,-2.0,12127.0,5365130.0,0.0,MBL
2017-04-06,441.0,450.0,421.0,430.0,-2.49,42372.0,18242516.0,0.0,MBL
2017-04-09,430.0,446.0,417.0,420.0,-2.33,54086.0,22899754.0,0.0,MBL
2017-04-10,420.0,431.0,414.0,423.0,0.71,64725.0,27201660.0,0.0,MBL
2017-04-11,423.0,454.0,431.0,454.0,7.33,59590.0,26347902.0,0.0,MBL
2017-04-12,454.0,470.0,438.0,450.0,-0.88,67295.0,30829728.0,0.0,MBL
2017-04-13,450.0,450.0,434.0,447.0,-0.67,44646.0,19695924.0,0.0,MBL
2017-04-16,447.0,448.0,425.0,425.0,-4.92,31511.0,13639065.0,0.0,MBL
2017-04-18,425.0,425.0,409.0,412.0,-3.06,44607.0,18560332.0,0.0,MBL
2017-04-19,412.0,432.0,412.0,429.0,4.13,20984.0,8862048.0,0.0,MBL
2017-04-20,429.0,450.0,421.0,422.0,-1.63,35342.0,15292633.0,0.0,MBL
2017-04-23,422.0,454.0,430.0,436.0,3.32,50181.0,22212772.0,0.0,MBL
2017-04-24,436.0,439.0,428.0,428.0,-1.83,29001.0,12525951.0,0.0,MBL
2017-04-25,428.0,434.0,422.0,425.0,-0.7,12685.0,5418457.0,0.0,MBL
2017-04-26,425.0,432.0,425.0,430.0,1.18,21396.0,9174003.0,0.0,MBL
2017-04-27,430.0,430.0,420.0,426.0,-0.93,12390.0,5265594.0,0.0,MBL
2017-04-30,426.0,428.0,415.0,420.0,-1.41,18965.0,7976121.0,0.0,MBL
2017-05-02,420.0,438.0,414.0,421.0,0.24,16663.0,7048300.0,0.0,MBL
2017-05-03,421.0,441.0,422.0,424.0,0.71,28244.0,12071962.0,0.0,MBL
2017-05-04,424.0,428.0,419.0,424.0,0.0,21261.0,8958191.0,0.0,MBL
2017-05-07,424.0,425.0,415.0,418.0,-1.42,19947.0,8335840.0,0.0,MBL
2017-05-08,418.0,424.0,411.0,421.0,0.72,10036.0,4212955.0,0.0,MBL
2017-05-09,421.0,425.0,415.0,420.0,-0.24,21396.0,8972774.0,0.0,MBL
2017-05-11,420.0,428.0,415.0,423.0,0.71,25753.0,10842809.0,0.0,MBL
2017-05-15,423.0,427.0,417.0,420.0,-0.71,14620.0,6129687.0,0.0,MBL
2017-05-16,420.0,420.0,413.0,419.0,-0.24,20773.0,8633943.0,0.0,MBL
2017-05-17,419.0,418.0,412.0,412.0,-1.67,17013.0,7062164.0,0.0,MBL
2017-05-18,412.0,416.0,411.0,415.0,0.73,16396.0,6783562.0,0.0,MBL
2017-05-21,415.0,416.0,407.0,408.0,-1.69,11049.0,4524637.0,0.0,MBL
2017-05-22,408.0,413.0,405.0,410.0,0.49,12532.0,5128980.0,0.0,MBL
2017-05-23,410.0,425.0,414.0,418.0,1.95,21886.0,9127717.0,0.0,MBL
2017-05-24,418.0,424.0,415.0,416.0,-0.48,41106.0,17131580.0,0.0,MBL
2017-05-28,416.0,419.0,411.0,414.0,-0.48,44755.0,18535368.0,0.0,MBL
