published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,stock
2017-01-01,386.0,408.0,387.0,395.0,2.33,11546.0,4614090.0,0.0,NBL
2017-01-02,395.0,408.0,395.0,403.0,2.03,12522.0,5026914.0,0.0,NBL
2017-01-03,403.0,401.0,394.0,395.0,-1.99,12095.0,4818164.0,0.0,NBL
2017-01-04,395.0,399.0,391.0,391.0,-1.01,4495.0,1773320.0,0.0,NBL
2017-01-05,391.0,401.0,394.0,395.0,1.02,9371.0,3711783.0,0.0,NBL
2017-01-08,395.0,401.0,393.0,396.0,0.25,9420.0,3716490.0,0.0,NBL
2017-01-09,396.0,400.0,396.0,396.0,0.0,1846.0,731872.0,0.0,NBL
2017-01-10,396.0,413.0,396.0,413.0,4.29,10400.0,4160320.0,0.0,NBL
2017-01-11,413.0,413.0,404.0,406.0,-1.69,13662.0,5547310.0,0.0,NBL
2017-01-12,406.0,406.0,400.0,405.0,-0.25,12260.0,4920020.0,0.0,NBL
2017-01-15,405.0,408.0,400.0,403.0,-0.49,17625.0,7116396.0,0.0,NBL
2017-01-16,403.0,407.0,398.0,400.0,-0.74,17164.0,6878310.0,0.0,NBL
2017-01-17,400.0,406.0,400.0,406.0,1.5,17243.0,6922993.0,0.0,NBL
2017-01-18,406.0,408.0,395.0,405.0,-0.25,31504.0,12497804.0,0.0,NBL
2017-01-19,405.0,413.0,405.0,407.0,0.49,46179.0,18834856.0,0.0,NBL
2017-01-22,407.0,410.0,403.0,403.0,-0.98,15096.0,6097644.0,0.0,NBL
2017-01-23,403.0,406.0,400.0,400.0,-0.74,13200.0,5303110.0,0.0,NBL
2017-01-24,400.0,395.0,388.0,392.0,-2.0,8686.0,3395298.0,0.0,NBL
2017-01-25,392.0,390.0,380.0,380.0,-3.06,14216.0,5465956.0,0.0,NBL
2017-01-26,380.0,380.0,359.0,376.0,-1.05,24500.0,9076883.0,0.0,NBL
2017-01-30,376.0,372.0,344.0,350.0,-6.91,24913.0,8884810.0,0.0,NBL
2017-01-31,350.0,360.0,341.0,352.0,0.57,13750.0,4805010.0,0.0,NBL
2017-02-01,352.0,377.0,359.0,377.0,7.1,5950.0,2205200.0,0.0,NBL
2017-02-02,377.0,389.0,370.0,375.0,-0.53,7619.0,2873085.0,0.0,NBL
2017-02-05,375.0,375.0,361.0,365.0,-2.67,9360.0,3432059.0,0.0,NBL
2017-02-06,365.0,368.0,352.0,352.0,-3.56,6870.0,2466350.0,0.0,NBL
2017-02-07,352.0,370.0,359.0,369.0,4.83,24053.0,8761165.0,0.0,NBL
2017-02-08,369.0,370.0,360.0,365.0,-1.08,27440.0,9961332.0,0.0,NBL
