published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,stock
2017-01-01,1410.0,1475.0,1430.0,1456.0,3.26,2371.0,3472926.0,0.0,SBI
2017-01-02,1456.0,1499.0,1456.0,1475.0,1.3,5186.0,7640060.0,0.0,SBI
2017-01-03,1475.0,1463.0,1415.0,1420.0,-3.73,6604.0,9535968.0,0.0,SBI
2017-01-04,1420.0,1411.0,1387.0,1400.0,-1.41,8605.0,12035174.0,0.0,SBI
2017-01-05,1400.0,1428.0,1400.0,1425.0,1.79,4516.0,6398445.0,0.0,SBI
2017-01-08,1425.0,1410.0,1396.0,1400.0,-1.75,3164.0,4431875.0,0.0,SBI
2017-01-09,1400.0,1428.0,1400.0,1410.0,0.71,2087.0,2960595.0,0.0,SBI
2017-01-10,1410.0,1423.0,1410.0,1423.0,0.92,4500.0,6358930.0,0.0,SBI
2017-01-11,1423.0,1425.0,1400.0,1415.0,-0.56,3231.0,4562917.0,0.0,SBI
2017-01-12,1415.0,1439.0,1415.0,1418.0,0.21,1329.0,1889689.0,0.0,SBI
2017-01-15,1418.0,1416.0,1400.0,1412.0,-0.42,4407.0,6194556.0,0.0,SBI
2017-01-16,1412.0,1410.0,1400.0,1410.0,-0.14,1359.0,1909123.0,0.0,SBI
2017-01-17,1410.0,1430.0,1410.0,1416.0,0.43,1364.0,1930638.0,0.0,SBI
2017-01-18,1416.0,1425.0,1410.0,1421.0,0.35,1128.0,1599550.0,0.0,SBI
2017-01-19,1421.0,1466.0,1430.0,1466.0,3.17,11349.0,16440297.0,0.0,SBI
2017-01-22,1466.0,1560.0,1495.0,1535.0,4.71,12004.0,18280168.0,0.0,SBI
2017-01-23,1535.0,1550.0,1510.0,1520.0,-0.98,6881.0,10493425.0,0.0,SBI
2017-01-24,1520.0,1510.0,1480.0,1484.0,-2.37,10321.0,15397355.0,0.0,SBI
2017-01-25,1484.0,1472.0,1435.0,1445.0,-2.63,5305.0,7719334.0,0.0,SBI
2017-01-26,1445.0,1440.0,1364.0,1425.0,-1.38,5966.0,8404146.0,0.0,SBI
2017-01-30,1425.0,1430.0,1348.0,1350.0,-5.26,10746.0,14716067.0,0.0,SBI
2017-01-31,1350.0,1400.0,1325.0,1370.0,1.48,7661.0,10354042.0,0.0,SBI
2017-02-01,1370.0,1455.0,1390.0,1455.0,6.2,7631.0,10940277.0,0.0,SBI
2017-02-02,1455.0,1515.0,1433.0,1433.0,-1.51,28356.0,41336716.0,0.0,SBI
2017-02-05,1120.0,1100.0,1065.0,1075.0,-24.98,5457.0,5901263.0,0.0,SBI
2017-02-06,1075.0,1090.0,1065.0,1075.0,0.0,1935.0,2083122.0,0.0,SBI
2017-02-07,1075.0,1083.0,1070.0,1070.0,-0.47,6084.0,6550407.0,0.0,SBI
2017-02-08,1070.0,1110.0,1052.0,1060.0,-0.93,5560.0,5956056.0,0.0,SBI
2017-02-09,1060.0,1060.0,1005.0,1020.0,-3.77,3594.0,3749914.0,0.0,SBI
2017-02-12,1020.0,1005.0,971.0,980.0,-3.92,9783.0,9596333.0,0.0,SBI
2017-02-13,980.0,1025.0,932.0,1025.0,4.59,11808.0,11366552.0,0.0,SBI
2017-02-14,1025.0,1006.0,981.0,998.0,-2.63,9717.0,9666496.0,0.0,SBI
2017-02-15,998.0,1015.0,995.0,1014.0,1.6,8055.0,8112426.0,0.0,SBI
2017-02-16,1014.0,1059.0,1010.0,1045.0,3.06,7796.0,8084271.0,0.0,SBI
2017-02-19,1045.0,1060.0,1030.0,1051.0,0.57,8779.0,9197141.0,0.0,SBI
2017-02-20,1051.0,1071.0,1029.0,1029.0,-2.09,8895.0,9411138.0,0.0,SBI
2017-02-21,1029.0,1070.0,1020.0,1054.0,2.43,7011.0,7360631.0,0.0,SBI
2017-02-22,1054.0,1049.0,1000.0,1043.0,-1.04,3290.0,3364110.0,0.0,SBI
2017-02-23,1043.0,1051.0,1013.0,1013.0,-2.88,3206.0,3304183.0,0.0,SBI
2017-02-26,1013.0,1025.0,1000.0,1015.0,0.2,3686.0,3726577.0,0.0,SBI
2017-02-28,1015.0,1019.0,998.0,1010.0,-0.49,3096.0,3104454.0,0.0,SBI
2017-03-01,1010.0,1019.0,1010.0,1010.0,0.0,1950.0,1973320.0,0.0,SBI
2017-03-02,1010.0,1029.0,1010.0,1029.0,1.88,1059.0,1078261.0,0.0,SBI
2017-03-05,1029.0,1052.0,1035.0,1045.0,1.55,1573.0,1643418.0,0.0,SBI
2017-03-06,1045.0,1060.0,1045.0,1055.0,0.96,3194.0,3362016.0,0.0,SBI
2017-03-07,1055.0,1058.0,1037.0,1055.0,0.0,2176.0,2280308.0,0.0,SBI
2017-03-09,1055.0,1060.0,1050.0,1050.0,-0.47,4562.0,4808068.0,0.0,SBI
2017-03-13,1050.0,1072.0,1051.0,1072.0,2.1,1442.0,1518942.0,0.0,SBI
2017-03-14,1072.0,1070.0,1056.0,1056.0,-1.49,560.0,594850.0,0.0,SBI
2017-03-15,1056.0,1070.0,1052.0,1070.0,1.33,680.0,723355.0,0.0,SBI
2017-03-16,1070.0,1071.0,1050.0,1071.0,0.09,534.0,569626.0,0.0,SBI
2017-03-19,1071.0,1080.0,1065.0,1080.0,0.84,2646.0,2851276.0,0.0,SBI
2017-03-20,1080.0,1100.0,1086.0,1095.0,1.39,2583.0,2818746.0,0.0,SBI
2017-03-21,1095.0,1204.0,1091.0,1200.0,9.59,5241.0,6038224.0,0.0,SBI
2017-03-22,1200.0,1320.0,1224.0,1295.0,7.92,20884.0,27047336.0,0.0,SBI
2017-03-23,1295.0,1325.0,1268.0,1300.0,0.39,11279.0,14713438.0,0.0,SBI
2017-03-26,1300.0,1380.0,1320.0,1365.0,5.0,7100.0,9620272.0,0.0,SBI
2017-03-28,1365.0,1475.0,1392.0,1435.0,5.13,5631.0,8112795.0,0.0,SBI
2017-03-29,1435.0,1460.0,1358.0,1386.0,-3.41,11045.0,15602377.0,0.0,SBI
2017-03-30,1386.0,1390.0,1350.0,1380.0,-0.43,4331.0,5963300.0,0.0,SBI
2017-04-02,1380.0,1430.0,1385.0,1430.0,3.62,4010.0,5650524.0,0.0,SBI
2017-04-03,1430.0,1500.0,1380.0,1400.0,-2.1,13581.0,19467574.0,0.0,SBI
2017-04-04,1400.0,1410.0,1385.0,1395.0,-0.36,7708.0,10788585.0,0.0,SBI
2017-04-06,1395.0,1390.0,1370.0,1380.0,-1.08,2526.0,3487840.0,0.0,SBI
2017-04-09,1380.0,1425.0,1375.0,1425.0,3.26,5781.0,8069913.0,0.0,SBI
2017-04-10,1425.0,1419.0,1382.0,1415.0,-0.7,2855.0,4012634.0,0.0,SBI
2017-04-11,1415.0,1470.0,1425.0,1469.0,3.82,16011.0,23315326.0,0.0,SBI
2017-04-12,1469.0,1500.0,1455.0,1455.0,-0.95,11039.0,16371927.0,0.0,SBI
2017-04-13,1455.0,1480.0,1401.0,1450.0,-0.34,7202.0,10496077.0,0.0,SBI
2017-04-16,1450.0,1440.0,1404.0,1405.0,-3.1,5914.0,8377512.0,0.0,SBI
2017-04-18,1405.0,1390.0,1350.0,1360.0,-3.2,6560.0,8994791.0,0.0,SBI
2017-04-19,1360.0,1433.0,1349.0,1417.0,4.19,5444.0,7626072.0,0.0,SBI
2017-04-20,1417.0,1473.0,1406.0,1430.0,0.92,10047.0,14256045.0,0.0,SBI
2017-04-23,1430.0,1495.0,1440.0,1446.0,1.12,11293.0,16621345.0,0.0,SBI
2017-04-24,1446.0,1470.0,1440.0,1440.0,-0.41,4176.0,6072355.0,0.0,SBI
2017-04-25,1440.0,1480.0,1415.0,1474.0,2.36,18710.0,27449612.0,0.0,SBI
2017-04-26,1474.0,1488.0,1427.0,1464.0,-0.68,6795.0,9935072.0,0.0,SBI
2017-04-27,1464.0,1475.0,1422.0,1450.0,-0.96,7893.0,11430668.0,0.0,SBI
2017-04-30,1450.0,1440.0,1401.0,1435.0,-1.03,4648.0,6622379.0,0.0,SBI
2017-05-02,1435.0,1481.0,1440.0,1465.0,2.09,23629.0,34616300.0,0.0,SBI
2017-05-03,1465.0,1510.0,1456.0,1460.0,-0.34,24286.0,35621392.0,0.0,SBI
2017-05-04,1460.0,1478.0,1450.0,1450.0,-0.68,32852.0,47851712.0,0.0,SBI
2017-05-07,1450.0,1460.0,1396.0,1400.0,-3.45,43900.0,62113612.0,0.0,SBI
2017-05-08,1400.0,1420.0,1390.0,1400.0,0.0,60255.0,84478376.0,0.0,SBI
2017-05-09,1029.0,1088.0,1045.0,1059.0,-24.36,17148.0,18143116.0,0.0,SBI
2017-05-11,1059.0,1080.0,1055.0,1062.0,0.28,10588.0,11268248.0,0.0,SBI
2017-05-15,1062.0,1103.0,1060.0,1065.0,0.28,5328.0,5693792.0,0.0,SBI
2017-05-16,1065.0,1070.0,1057.0,1060.0,-0.47,5118.0,5432575.0,0.0,SBI
2017-05-17,1060.0,1077.0,1050.0,1050.0,-0.94,5775.0,6118441.0,0.0,SBI
2017-05-18,1050.0,1055.0,1029.0,1035.0,-1.43,4272.0,4431952.0,0.0,SBI
2017-05-21,1035.0,1030.0,1005.0,1007.0,-2.71,5302.0,5377998.0,0.0,SBI
2017-05-22,1007.0,1010.0,970.0,977.0,-2.98,5004.0,4895770.0,0.0,SBI
2017-05-23,977.0,1040.0,980.0,1006.0,2.97,10601.0,10761629.0,0.0,SBI
2017-05-24,1006.0,1020.0,981.0,1010.0,0.4,5572.0,5594677.0,0.0,SBI
2017-05-28,1010.0,1010.0,991.0,995.0,-1.49,8098.0,8103009.0,0.0,SBI
2017-05-30,995.0,1000.0,985.0,985.0,-1.01,16949.0,16837232.0,0.0,SBI
