published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,stock
2017-01-01,496.0,515.0,500.0,500.0,0.81,12533.0,6332609.0,0.0,PCBL
2017-01-02,500.0,520.0,490.0,516.0,3.2,21524.0,10835245.0,0.0,PCBL
2017-01-03,516.0,517.0,491.0,500.0,-3.1,36549.0,18255228.0,0.0,PCBL
2017-01-04,500.0,510.0,498.0,503.0,0.6,14104.0,7110530.0,0.0,PCBL
2017-01-05,503.0,515.0,500.0,506.0,0.6,12262.0,6199213.0,0.0,PCBL
2017-01-08,506.0,504.0,488.0,490.0,-3.16,30923.0,15286410.0,0.0,PCBL
2017-01-09,490.0,508.0,490.0,508.0,3.67,9553.0,4751968.0,0.0,PCBL
2017-01-10,508.0,518.0,507.0,514.0,1.18,39028.0,20011820.0,0.0,PCBL
2017-01-11,514.0,515.0,506.0,510.0,-0.78,27554.0,14124157.0,0.0,PCBL
2017-01-12,494.25,493.0,482.5,486.25,-5.2425,22274.75,11263412.0,0.0,PCBL
2017-01-15,435.0,427.0,412.0,415.0,-18.63,6437.0,2681177.0,0.0,PCBL
2017-01-16,415.0,420.0,410.0,419.0,0.96,6113.0,2541843.0,0.0,PCBL
2017-01-17,419.0,420.0,412.0,415.0,-0.95,1610.0,667340.0,0.0,PCBL
2017-01-18,415.0,415.0,410.0,413.0,-0.48,3477.0,1435339.0,0.0,PCBL
2017-01-19,413.0,415.0,411.0,414.0,0.24,4579.0,1890728.0,0.0,PCBL
2017-01-22,414.0,420.0,411.0,413.0,-0.24,6096.0,2529421.0,0.0,PCBL
2017-01-23,413.0,415.0,407.0,407.0,-1.45,4526.0,1852480.0,0.0,PCBL
2017-01-24,407.0,406.0,396.0,396.0,-2.7,7410.0,2959970.0,0.0,PCBL
2017-01-25,396.0,401.0,386.0,390.0,-1.52,7342.0,2875644.0,0.0,PCBL
2017-01-26,390.0,390.0,364.0,369.0,-5.38,16241.0,6080107.0,0.0,PCBL
2017-01-30,369.0,367.0,352.0,354.0,-4.07,10714.0,3832440.0,0.0,PCBL
2017-01-31,354.0,370.0,341.0,367.0,3.67,12215.0,4394979.0,0.0,PCBL
2017-02-01,367.0,403.0,374.0,402.0,9.54,12873.0,4997931.0,0.0,PCBL
2017-02-02,402.0,417.0,397.0,401.0,-0.25,17319.0,6970354.0,0.0,PCBL
2017-02-05,401.0,405.0,372.0,383.0,-4.49,16533.0,6361920.0,0.0,PCBL
2017-02-06,383.0,385.0,367.0,378.0,-1.31,13343.0,5024306.0,0.0,PCBL
2017-02-07,378.0,379.0,367.0,375.0,-0.79,9933.0,3711980.0,0.0,PCBL
2017-02-08,375.0,375.0,367.0,370.0,-1.33,17406.0,6456270.0,0.0,PCBL
2017-02-09,370.0,371.0,357.0,360.0,-2.7,25009.0,9057175.0,0.0,PCBL
2017-02-12,360.0,358.0,340.0,348.0,-3.33,22165.0,7734289.0,0.0,PCBL
2017-02-13,348.0,360.0,331.0,359.0,3.16,30905.0,10576237.0,0.0,PCBL
2017-02-14,359.0,366.0,342.0,353.0,-1.67,24659.0,8705046.0,0.0,PCBL
2017-02-15,353.0,370.0,350.0,368.0,4.25,38667.0,13752078.0,0.0,PCBL
2017-02-16,368.0,382.0,358.0,375.0,1.9,26788.0,10008287.0,0.0,PCBL
2017-02-19,375.0,390.0,365.0,385.0,2.67,25983.0,9858772.0,0.0,PCBL
2017-02-20,385.0,400.0,380.0,380.0,-1.3,21945.0,8581422.0,0.0,PCBL
2017-02-21,380.0,394.0,368.0,372.0,-2.11,23431.0,8899313.0,0.0,PCBL
2017-02-22,372.0,394.0,366.0,376.0,1.08,19778.0,7457191.0,0.0,PCBL
2017-02-23,376.0,377.0,370.0,371.0,-1.33,9270.0,3443474.0,0.0,PCBL
2017-02-26,371.0,378.0,358.0,358.0,-3.5,9407.0,3415828.0,0.0,PCBL
