published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,stock
2017-01-01,525.0,530.0,520.0,530.0,0.95,1386.0,731250.0,0.0,MDB
2017-01-02,530.0,540.0,520.0,540.0,1.89,1356.0,708018.0,0.0,MDB
2017-01-03,540.0,535.0,520.0,520.0,-3.7,630.0,332270.0,0.0,MDB
2017-01-04,520.0,515.0,515.0,515.0,-0.96,140.0,72100.0,0.0,MDB
2017-01-05,515.0,520.0,500.0,504.0,-2.14,2914.0,1468884.0,0.0,MDB
2017-01-08,504.0,504.0,493.0,500.0,-0.79,3429.0,1700842.0,0.0,MDB
2017-01-09,500.0,505.0,492.0,492.0,-1.6,2514.0,1250580.0,0.0,MDB
2017-01-10,492.0,515.0,490.0,515.0,4.67,2100.0,1044440.0,0.0,MDB
2017-01-11,515.0,507.0,496.0,501.0,-2.72,2359.0,1177595.0,0.0,MDB
2017-01-12,501.0,497.0,495.0,495.0,-1.2,230.0,114050.0,0.0,MDB
2017-01-15,495.0,495.0,494.0,494.0,-0.2,252.0,124525.0,0.0,MDB
2017-01-16,494.5,492.5,492.0,492.0,-0.5050000000000001,176.0,86762.5,0.0,MDB
2017-01-17,494.0,490.0,490.0,490.0,-0.81,100.0,49000.0,0.0,MDB
2017-01-18,490.0,502.0,490.0,500.0,2.04,1558.0,779474.0,0.0,MDB
2017-01-19,492.5,504.0,490.0,497.5,1.03,1351.5,676025.5,0.0,MDB
2017-01-22,500.0,510.0,490.0,490.0,-2.0,732.0,365680.0,0.0,MDB
2017-01-23,490.0,490.0,485.0,485.0,-1.02,980.0,477740.0,0.0,MDB
2017-01-24,485.0,480.0,477.0,480.0,-1.03,694.0,331489.0,0.0,MDB
2017-01-25,480.0,475.0,457.0,457.0,-4.79,1336.0,626647.0,0.0,MDB
2017-01-26,457.0,466.0,441.0,451.0,-1.31,3351.0,1522471.0,0.0,MDB
2017-01-30,451.0,445.0,429.0,429.0,-4.88,617.0,268623.0,0.0,MDB
2017-01-31,429.0,428.0,425.0,427.0,-0.47,250.0,106480.0,0.0,MDB
2017-02-01,427.0,469.0,435.0,455.0,6.56,673.0,305805.0,0.0,MDB
2017-02-02,455.0,478.0,456.0,469.0,3.08,1005.0,466362.0,0.0,MDB
2017-02-05,469.0,478.0,470.0,470.0,0.21,110.0,52100.0,0.0,MDB
2017-02-06,470.0,475.0,448.0,470.0,0.0,565.0,262845.0,0.0,MDB
2017-02-07,470.0,465.0,465.0,465.0,-1.06,88.0,40920.0,0.0,MDB
2017-02-08,465.0,460.0,460.0,460.0,-1.08,10.0,4600.0,0.0,MDB
2017-02-09,463.75,457.75,452.5,454.5,-2.005,176.25,78012.5,0.0,MDB
2017-02-12,460.0,451.0,430.0,438.0,-4.78,675.0,298250.0,0.0,MDB
2017-02-13,438.0,446.0,435.0,445.0,1.6,811.0,357263.0,0.0,MDB
2017-02-14,445.0,453.0,440.0,440.0,-1.12,1266.0,565688.0,0.0,MDB
2017-02-15,440.0,464.0,440.0,455.0,3.41,1400.0,630800.0,0.0,MDB
2017-02-16,455.0,469.0,447.0,469.0,3.08,3561.0,1616153.0,0.0,MDB
2017-02-19,469.0,488.0,470.0,488.0,4.05,892.0,429095.0,0.0,MDB
2017-02-20,488.0,490.0,473.0,473.0,-3.07,475.0,227305.0,0.0,MDB
2017-02-21,473.0,485.0,464.0,473.0,0.0,1468.0,693922.0,0.0,MDB
2017-02-22,473.0,473.0,456.0,456.0,-3.59,550.0,257140.0,0.0,MDB
2017-02-23,456.0,462.0,460.0,462.0,1.32,416.0,191520.0,0.0,MDB
2017-02-26,462.0,471.0,462.0,462.0,0.0,250.0,116400.0,0.0,MDB
2017-02-28,462.0,466.3333333333333,456.0,457.3333333333333,-1.0133333333333334,1228.0,559272.0,0.0,MDB
2017-03-01,462.0,464.0,453.0,455.0,-1.52,1717.0,780708.0,0.0,MDB
2017-03-02,455.0,460.0,455.0,455.0,0.0,400.0,182600.0,0.0,MDB
2017-03-05,455.0,470.0,460.0,470.0,3.3,865.0,400170.0,0.0,MDB
2017-03-06,470.0,470.0,461.0,461.0,-1.91,375.0,174550.0,0.0,MDB
2017-03-07,461.0,465.0,460.0,460.0,-0.22,875.0,403545.0,0.0,MDB
2017-03-09,460.0,464.0,455.0,460.0,0.0,287.0,131885.0,0.0,MDB
2017-03-13,460.0,460.8,447.8,456.8,-0.696,3623.8,1648455.4,0.0,MDB
2017-03-14,460.0,460.0,446.0,456.0,-0.87,4458.0,2027598.0,0.0,MDB
2017-03-15,458.0,455.0,444.0,450.0,-1.75,2947.5,1332693.0,0.0,MDB
2017-03-16,456.0,450.0,442.0,444.0,-2.63,1437.0,637788.0,0.0,MDB
2017-03-19,444.0,452.0,448.0,450.0,1.35,1561.0,704060.0,0.0,MDB
2017-03-20,450.0,479.0,450.0,479.0,6.44,4129.0,1935154.0,0.0,MDB
2017-03-21,479.0,526.0,461.0,513.0,7.1,4630.0,2241808.0,0.0,MDB
2017-03-22,513.0,540.0,485.0,485.0,-5.46,7230.0,3716005.0,0.0,MDB
2017-03-23,485.0,514.0,485.0,514.0,5.98,5097.0,2524824.0,0.0,MDB
2017-03-26,514.0,540.0,515.0,530.0,3.11,8783.0,4658346.0,0.0,MDB
