published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,stock
2017-01-01,794.0,825.0,800.0,816.0,2.77,3388.0,2761496.0,0.0,MNBBL
2017-01-02,816.0,828.0,805.0,819.0,0.37,2364.0,1924735.0,0.0,MNBBL
2017-01-03,819.0,825.0,795.0,795.0,-2.93,3079.0,2485607.0,0.0,MNBBL
2017-01-04,795.0,804.0,790.0,793.0,-0.25,2440.0,1936559.0,0.0,MNBBL
2017-01-05,793.0,824.0,791.0,791.0,-0.25,2640.0,2121948.0,0.0,MNBBL
2017-01-08,791.0,796.0,787.0,787.0,-0.51,1140.0,902580.0,0.0,MNBBL
2017-01-09,787.0,797.0,782.0,790.0,0.38,7440.0,5852100.0,0.0,MNBBL
2017-01-10,790.0,800.0,788.0,790.0,0.0,1700.0,1345000.0,0.0,MNBBL
2017-01-11,790.0,808.0,780.0,780.0,-1.27,2659.0,2084830.0,0.0,MNBBL
2017-01-12,780.0,785.0,780.0,783.0,0.38,2799.0,2193647.0,0.0,MNBBL
2017-01-15,783.0,790.0,775.0,789.0,0.77,1452.0,1130982.0,0.0,MNBBL
2017-01-16,789.0,795.0,774.0,795.0,0.76,2228.0,1761503.0,0.0,MNBBL
2017-01-17,795.0,790.0,780.0,784.0,-1.38,837.0,656387.0,0.0,MNBBL
2017-01-18,784.0,790.0,774.0,790.0,0.77,462.0,361195.0,0.0,MNBBL
2017-01-19,790.0,783.0,775.0,780.0,-1.27,540.0,421175.0,0.0,MNBBL
2017-01-22,780.0,785.0,770.0,778.0,-0.26,2298.0,1782820.0,0.0,MNBBL
2017-01-23,778.0,780.0,765.0,780.0,0.26,716.0,550100.0,0.0,MNBBL
2017-01-24,780.0,776.0,770.0,776.0,-0.51,570.0,440120.0,0.0,MNBBL
2017-01-25,776.0,775.0,750.0,764.0,-1.55,2821.0,2147875.0,0.0,MNBBL
2017-01-26,764.0,759.0,730.0,740.0,-3.14,4534.0,3352073.0,0.0,MNBBL
2017-01-30,740.0,726.0,666.0,666.0,-10.0,8357.0,5663035.0,0.0,MNBBL
2017-01-31,666.0,717.0,660.0,699.0,4.95,5304.0,3629274.0,0.0,MNBBL
2017-02-01,699.0,760.0,700.0,760.0,8.73,5096.0,3713832.0,0.0,MNBBL
2017-02-02,760.0,776.0,750.0,755.0,-0.66,3371.0,2566861.0,0.0,MNBBL
2017-02-05,755.0,749.0,704.0,725.0,-3.97,2914.0,2122749.0,0.0,MNBBL
2017-02-06,725.0,716.0,698.0,714.0,-1.52,4188.0,2965536.0,0.0,MNBBL
2017-02-07,714.0,708.0,700.0,705.0,-1.26,3377.0,2369151.0,0.0,MNBBL
2017-02-08,705.0,701.0,685.0,685.0,-2.84,2297.0,1584512.0,0.0,MNBBL
2017-02-09,685.0,692.0,675.0,675.0,-1.46,4025.0,2751050.0,0.0,MNBBL
2017-02-12,675.0,678.0,630.0,630.0,-6.67,4131.0,2702432.0,0.0,MNBBL
2017-02-13,630.0,680.0,590.0,660.0,4.76,8872.0,5472081.0,0.0,MNBBL
2017-02-14,660.0,670.0,648.0,662.0,0.3,3711.0,2453600.0,0.0,MNBBL
2017-02-15,662.0,695.0,664.0,688.0,3.93,4328.0,2959640.0,0.0,MNBBL
2017-02-16,688.0,705.0,675.0,700.0,1.74,9106.0,6350910.0,0.0,MNBBL
2017-02-19,700.0,714.0,680.0,704.0,0.57,9724.0,6830368.0,0.0,MNBBL
2017-02-20,704.0,725.0,690.0,690.0,-1.99,11669.0,8268800.0,0.0,MNBBL
2017-02-21,690.0,717.0,695.0,702.0,1.74,6750.0,4751960.0,0.0,MNBBL
2017-02-22,702.0,695.0,682.0,690.0,-1.71,860.0,594363.0,0.0,MNBBL
2017-02-23,690.0,690.0,675.0,685.0,-0.72,1840.0,1248393.0,0.0,MNBBL
2017-02-26,685.0,675.0,660.0,660.0,-3.65,2013.0,1338810.0,0.0,MNBBL
2017-02-28,660.0,659.0,640.0,651.0,-1.36,5480.0,3544595.0,0.0,MNBBL
2017-03-01,651.0,672.0,660.0,672.0,3.23,2337.0,1558974.0,0.0,MNBBL
2017-03-02,672.0,680.0,665.0,675.0,0.45,2796.0,1887361.0,0.0,MNBBL
2017-03-05,675.0,713.0,671.0,702.0,4.0,3611.0,2523758.0,0.0,MNBBL
2017-03-06,702.0,710.0,693.0,700.0,-0.28,4758.0,3342734.0,0.0,MNBBL
2017-03-07,700.0,695.0,683.0,685.0,-2.14,3010.0,2070270.0,0.0,MNBBL
2017-03-09,685.0,697.0,686.0,686.0,0.15,1997.0,1380363.0,0.0,MNBBL
2017-03-13,686.0,692.0,678.0,681.0,-0.73,2648.0,1815655.0,0.0,MNBBL
2017-03-14,681.0,694.0,686.0,689.0,1.17,3363.0,2313905.0,0.0,MNBBL
2017-03-15,689.0,698.0,672.0,686.0,-0.44,1628.0,1115636.0,0.0,MNBBL
2017-03-16,686.0,689.0,670.0,679.0,-1.02,9064.0,6148729.0,0.0,MNBBL
2017-03-19,679.0,692.0,680.0,692.0,1.91,4629.0,3165866.0,0.0,MNBBL
2017-03-20,692.0,714.0,690.0,710.0,2.6,9156.0,6438006.0,0.0,MNBBL
2017-03-21,710.0,780.0,700.0,780.0,9.86,14701.0,10850990.0,0.0,MNBBL
2017-03-22,780.0,858.0,795.0,809.0,3.72,22496.0,18538782.0,0.0,MNBBL
2017-03-23,809.0,850.0,780.0,826.0,2.1,20671.0,16945908.0,0.0,MNBBL
2017-03-26,826.0,880.0,825.0,866.0,4.84,26525.0,22761524.0,0.0,MNBBL
2017-03-28,866.0,938.0,880.0,938.0,8.31,19750.0,17842956.0,0.0,MNBBL
2017-03-29,938.0,975.0,890.0,890.0,-5.12,27496.0,25489034.0,0.0,MNBBL
2017-03-30,890.0,939.0,870.0,896.0,0.67,18228.0,16351112.0,0.0,MNBBL
2017-04-02,896.0,985.0,902.0,980.0,9.38,16280.0,15289303.0,0.0,MNBBL
2017-04-03,980.0,1078.0,950.0,962.0,-1.84,38786.0,39463520.0,0.0,MNBBL
2017-04-04,962.0,1000.0,934.0,960.0,-0.21,17976.0,17322616.0,0.0,MNBBL
2017-04-06,960.0,998.0,950.0,975.0,1.56,14553.0,14042716.0,0.0,MNBBL
2017-04-09,975.0,994.0,960.0,966.0,-0.92,9729.0,9436532.0,0.0,MNBBL
2017-04-10,966.0,1010.0,963.0,999.0,3.42,31824.0,31288788.0,0.0,MNBBL
2017-04-11,999.0,1085.0,990.0,1065.0,6.61,84241.0,88089496.0,0.0,MNBBL
2017-04-12,1065.0,1094.0,1016.0,1035.0,-2.82,51470.0,55273336.0,0.0,MNBBL
2017-04-13,1035.0,1070.0,1001.0,1048.0,1.26,37643.0,39065824.0,0.0,MNBBL
2017-04-16,1048.0,1088.0,1000.0,1014.0,-3.24,29805.0,30674142.0,0.0,MNBBL
2017-04-18,1014.0,1025.0,960.0,999.0,-1.48,26707.0,26550180.0,0.0,MNBBL
2017-04-19,999.0,1052.0,990.0,1038.0,3.9,33777.0,34311020.0,0.0,MNBBL
2017-04-20,1038.0,1090.0,1020.0,1030.0,-0.77,21938.0,22795304.0,0.0,MNBBL
2017-04-23,1030.0,1092.0,1035.0,1045.0,1.46,27577.0,28828136.0,0.0,MNBBL
2017-04-24,1045.0,1046.0,1025.0,1039.0,-0.57,21042.0,21797454.0,0.0,MNBBL
