published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,stock
2017-01-01,316.0,328.0,318.0,322.0,1.9,7800.0,2531600.0,0.0,SHL
2017-01-02,322.0,334.0,320.0,320.0,-0.62,4890.0,1583140.0,0.0,SHL
2017-01-03,320.0,320.0,308.0,313.0,-2.19,2830.0,890790.0,0.0,SHL
2017-01-04,318.6,320.0,307.8,314.4,-1.304,2439.0,767337.0,0.0,SHL
2017-01-05,317.2,320.0,307.6,315.8,-0.4180000000000001,2048.0,643884.0,0.0,SHL
2017-01-08,313.0,320.0,307.0,320.0,2.24,875.0,273525.0,0.0,SHL
2017-01-09,316.5,320.0,312.0,318.5,0.6500000000000001,537.5,168612.5,0.0,SHL
2017-01-10,320.0,320.0,317.0,317.0,-0.94,200.0,63700.0,0.0,SHL
2017-01-11,317.0,320.0,315.0,319.0,0.63,3500.0,1106800.0,0.0,SHL
2017-01-12,319.0,315.0,314.0,314.0,-1.57,700.0,220000.0,0.0,SHL
2017-01-15,314.0,312.0,311.0,311.0,-0.96,2200.0,685100.0,0.0,SHL
2017-01-16,311.0,310.0,310.0,310.0,-0.32,2655.0,823050.0,0.0,SHL
2017-01-17,310.0,316.0,304.0,315.0,1.61,2208.0,681430.0,0.0,SHL
2017-01-18,315.0,313.0,306.0,310.0,-1.59,700.0,217000.0,0.0,SHL
2017-01-19,310.0,310.0,307.0,307.0,-0.97,1300.0,400400.0,0.0,SHL
2017-01-22,307.0,313.0,309.0,309.0,0.65,1600.0,499400.0,0.0,SHL
2017-01-23,309.0,315.0,303.0,308.0,-0.32,6225.0,1913300.0,0.0,SHL
2017-01-24,308.0,309.0,304.0,306.0,-0.65,1250.0,381600.0,0.0,SHL
2017-01-25,306.0,306.0,294.0,294.0,-3.92,6750.0,2019050.0,0.0,SHL
2017-01-26,294.0,300.0,285.0,290.0,-1.36,6300.0,1835000.0,0.0,SHL
2017-01-30,290.0,285.0,261.0,261.0,-10.0,8962.0,2388373.0,0.0,SHL
2017-01-31,261.0,287.0,256.0,287.0,9.96,9050.0,2492800.0,0.0,SHL
2017-02-01,287.0,298.0,285.0,298.0,3.83,1700.0,491500.0,0.0,SHL
2017-02-02,298.0,298.0,287.0,290.0,-2.68,5195.0,1510450.0,0.0,SHL
2017-02-05,290.0,290.0,290.0,290.0,0.0,100.0,29000.0,0.0,SHL
2017-02-06,290.0,285.0,280.0,280.0,-3.45,3700.0,1039300.0,0.0,SHL
2017-02-07,280.0,275.0,270.0,271.0,-3.21,4494.0,1226374.0,0.0,SHL
2017-02-08,271.0,270.0,260.0,261.0,-3.69,7905.0,2079380.0,0.0,SHL
2017-02-09,261.0,270.0,261.0,261.0,0.0,3931.0,1046001.0,0.0,SHL
2017-02-12,261.0,270.0,251.0,266.0,1.92,8665.0,2250564.0,0.0,SHL
2017-02-13,266.0,272.0,260.0,262.0,-1.5,9941.0,2636294.0,0.0,SHL
2017-02-14,262.0,277.0,260.0,270.0,3.05,10625.0,2803050.0,0.0,SHL
2017-02-15,270.0,280.0,265.0,280.0,3.7,39884.0,10785335.0,0.0,SHL
2017-02-16,280.0,290.0,275.0,283.0,1.07,5279.0,1489157.0,0.0,SHL
2017-02-19,283.0,288.0,275.0,277.0,-2.12,6625.0,1855425.0,0.0,SHL
2017-02-20,277.0,288.0,273.0,276.0,-0.36,8173.0,2290760.0,0.0,SHL
2017-02-21,276.0,282.0,273.0,279.0,1.09,7672.0,2127135.0,0.0,SHL
2017-02-22,279.0,277.0,266.0,270.0,-3.23,6785.0,1849310.0,0.0,SHL
2017-02-23,270.0,275.0,265.0,275.0,1.85,7131.0,1893225.0,0.0,SHL
2017-02-26,275.0,270.0,265.0,269.0,-2.18,700.0,186800.0,0.0,SHL
2017-02-28,269.0,265.0,254.0,261.0,-2.97,5900.0,1513800.0,0.0,SHL
2017-03-01,261.0,268.0,262.0,268.0,2.68,14700.0,3900300.0,0.0,SHL
2017-03-02,268.0,294.0,273.0,294.0,9.7,31037.0,9017110.0,0.0,SHL
2017-03-05,294.0,316.0,298.0,305.0,3.74,17799.0,5448688.0,0.0,SHL
2017-03-06,305.0,310.0,300.0,305.0,0.0,13875.0,4203675.0,0.0,SHL
2017-03-07,305.0,300.0,294.0,296.0,-2.95,10094.0,2997565.0,0.0,SHL
2017-03-09,296.0,306.0,300.0,300.0,1.35,7650.0,2316425.0,0.0,SHL
2017-03-13,300.0,312.0,300.0,300.0,0.0,8310.0,2511360.0,0.0,SHL
2017-03-14,300.0,301.0,295.0,298.0,-0.67,9000.0,2684100.0,0.0,SHL
2017-03-15,298.0,300.0,299.0,300.0,0.67,6590.0,1972700.0,0.0,SHL
2017-03-16,300.0,304.0,295.0,298.0,-0.67,6200.0,1844400.0,0.0,SHL
2017-03-19,298.0,308.0,303.0,308.0,3.36,3827.0,1170464.0,0.0,SHL
2017-03-20,308.0,325.0,303.0,322.0,4.55,16167.0,5061022.0,0.0,SHL
2017-03-21,322.0,329.0,310.0,329.0,2.17,12856.0,4127895.0,0.0,SHL
2017-03-22,329.0,347.0,325.0,325.0,-1.22,14975.0,5001750.0,0.0,SHL
2017-03-23,325.0,325.0,322.0,323.0,-0.62,2975.0,962575.0,0.0,SHL
2017-03-26,323.0,341.0,328.0,341.0,5.57,11535.0,3845572.0,0.0,SHL
2017-03-28,341.0,357.0,328.0,350.0,2.64,22065.0,7534330.0,0.0,SHL
2017-03-29,350.0,352.0,335.0,340.0,-2.86,18489.0,6303505.0,0.0,SHL
2017-03-30,340.0,345.0,330.0,338.0,-0.59,16651.0,5580185.0,0.0,SHL
2017-04-02,338.0,355.0,333.0,355.0,5.03,8473.0,2911145.0,0.0,SHL
2017-04-03,355.0,383.0,344.0,344.0,-3.1,15079.0,5465920.0,0.0,SHL
2017-04-04,344.0,364.0,343.0,362.0,5.23,13752.0,4890571.0,0.0,SHL
2017-04-06,362.0,355.0,350.0,350.0,-3.31,19284.0,6782236.0,0.0,SHL
2017-04-09,350.0,350.0,343.0,344.0,-1.71,13120.0,4547620.0,0.0,SHL
2017-04-10,344.0,356.0,347.0,356.0,3.49,8600.0,3013400.0,0.0,SHL
2017-04-11,356.0,360.0,354.0,359.0,0.84,3400.0,1215400.0,0.0,SHL
2017-04-12,359.0,372.0,355.0,356.0,-0.84,21761.0,7855845.0,0.0,SHL
2017-04-13,356.0,360.0,349.0,358.0,0.56,2245.0,799355.0,0.0,SHL
2017-04-16,358.0,353.0,346.0,346.0,-3.35,7740.0,2702540.0,0.0,SHL
