published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,stock
2017-01-01,248.0,260.0,246.0,250.0,0.81,10091.0,2547963.0,0.0,AHPC
2017-01-02,250.0,255.0,246.0,246.0,-1.6,9057.0,2257767.0,0.0,AHPC
2017-01-03,246.0,255.0,242.0,255.0,3.66,7007.0,1720776.0,0.0,AHPC
2017-01-04,255.0,255.0,248.0,252.0,-1.18,3661.0,918910.0,0.0,AHPC
2017-01-05,252.0,250.0,248.0,250.0,-0.79,2129.0,531672.0,0.0,AHPC
2017-01-08,250.0,250.0,245.0,250.0,0.0,3126.0,771242.0,0.0,AHPC
2017-01-09,250.0,252.0,248.0,252.0,0.8,336.0,83808.0,0.0,AHPC
2017-01-10,252.0,255.0,250.0,255.0,1.19,1154.0,288950.0,0.0,AHPC
2017-01-11,255.0,259.0,247.0,249.0,-2.35,4037.0,1014494.0,0.0,AHPC
2017-01-12,249.0,255.0,249.0,253.0,1.61,6482.0,1619579.0,0.0,AHPC
2017-01-15,253.0,252.0,247.0,247.0,-2.37,2709.0,674791.0,0.0,AHPC
2017-01-16,247.0,249.0,243.0,245.0,-0.81,4183.0,1029037.0,0.0,AHPC
2017-01-17,245.0,247.0,244.0,247.0,0.82,2049.0,501652.0,0.0,AHPC
2017-01-18,247.0,247.0,244.0,245.0,-0.81,491.0,120479.0,0.0,AHPC
2017-01-19,245.0,248.0,244.0,245.0,0.0,3921.0,960241.0,0.0,AHPC
2017-01-22,245.0,251.0,243.0,251.0,2.45,4038.0,999334.0,0.0,AHPC
2017-01-23,251.0,250.0,246.0,247.0,-1.59,9685.0,2401792.0,0.0,AHPC
2017-01-24,247.0,250.0,245.0,247.0,0.0,7167.0,1771817.0,0.0,AHPC
2017-01-25,247.0,245.0,240.0,241.0,-2.43,3320.0,804530.0,0.0,AHPC
2017-01-26,241.0,237.0,226.0,233.0,-3.32,7702.0,1784509.0,0.0,AHPC
2017-01-30,233.0,229.0,210.0,214.0,-8.15,5775.0,1246499.0,0.0,AHPC
2017-01-31,214.0,223.0,206.0,223.0,4.21,2518.0,538276.0,0.0,AHPC
2017-02-01,223.0,243.0,227.0,236.0,5.83,2764.0,652290.0,0.0,AHPC
2017-02-02,236.0,244.0,230.0,230.0,-2.54,18329.0,4384129.0,0.0,AHPC
2017-02-05,230.0,234.0,223.0,224.0,-2.61,3768.0,847993.0,0.0,AHPC
