published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,stock
2017-01-01,550.0,562.0,550.0,559.0,1.64,9760.0,5444640.0,0.0,BPCL
2017-01-02,559.0,562.0,559.0,559.0,0.0,5280.0,2958110.0,0.0,BPCL
2017-01-03,559.0,560.0,548.0,550.0,-1.61,7970.0,4416060.0,0.0,BPCL
2017-01-04,550.0,560.0,552.0,560.0,1.82,2970.0,1661540.0,0.0,BPCL
2017-01-05,560.0,554.0,553.0,553.0,-1.25,1502.0,831706.0,0.0,BPCL
2017-01-08,553.0,564.0,554.0,554.0,0.18,110.0,61040.0,0.0,BPCL
2017-01-09,554.0,559.0,558.0,559.0,0.9,1290.0,720120.0,0.0,BPCL
2017-01-10,559.0,560.0,555.0,555.0,-0.72,1853.0,1035687.0,0.0,BPCL
2017-01-11,555.0,550.0,550.0,550.0,-0.9,100.0,55000.0,0.0,BPCL
2017-01-12,550.0,560.0,560.0,560.0,1.82,120.0,67200.0,0.0,BPCL
2017-01-15,560.0,559.0,559.0,559.0,-0.18,300.0,167700.0,0.0,BPCL
2017-01-16,559.0,556.0,549.0,549.0,-1.79,500.0,275120.0,0.0,BPCL
2017-01-17,549.0,544.0,544.0,544.0,-0.91,203.0,110432.0,0.0,BPCL
2017-01-18,548.0,543.6,543.6,543.6,-0.802,212.6,115554.0,0.0,BPCL
2017-01-19,547.0,543.2,543.2,543.2,-0.6940000000000001,222.2,120676.0,0.0,BPCL
2017-01-22,544.0,542.0,542.0,542.0,-0.37,251.0,136042.0,0.0,BPCL
2017-01-23,542.0,550.0,536.0,550.0,1.48,2010.0,1089840.0,0.0,BPCL
2017-01-24,550.0,549.0,538.0,538.0,-2.18,130.0,70120.0,0.0,BPCL
2017-01-25,538.0,538.0,518.0,518.0,-3.72,1050.0,549200.0,0.0,BPCL
2017-01-26,518.0,528.0,508.0,515.0,-0.58,2150.0,1109600.0,0.0,BPCL
2017-01-30,515.0,510.0,500.0,500.0,-2.91,1450.0,727350.0,0.0,BPCL
2017-01-31,500.0,512.0,485.0,512.0,2.4,28790.0,14172710.0,0.0,BPCL
2017-02-01,512.0,532.0,500.0,532.0,3.91,30990.0,15513940.0,0.0,BPCL
2017-02-02,532.0,542.0,520.0,530.0,-0.38,11310.0,5992550.0,0.0,BPCL
2017-02-05,530.0,530.0,530.0,530.0,0.0,300.0,159000.0,0.0,BPCL
2017-02-06,530.0,527.0,520.0,526.5,-0.6599999999999999,891.5,460135.0,0.0,BPCL
2017-02-07,530.0,524.0,510.0,523.0,-1.32,1483.0,761270.0,0.0,BPCL
2017-02-08,523.0,524.0,495.0,524.0,0.19,2020.0,1020430.0,0.0,BPCL
2017-02-09,524.0,518.0,508.0,508.0,-3.05,320.0,164080.0,0.0,BPCL
2017-02-12,508.0,502.0,484.0,490.0,-3.54,2484.0,1226222.0,0.0,BPCL
2017-02-13,490.0,499.0,464.0,499.0,1.84,1960.0,942040.0,0.0,BPCL
2017-02-14,499.0,490.0,470.0,481.0,-3.61,5551.0,2638672.0,0.0,BPCL
2017-02-15,481.0,500.0,489.0,498.0,3.53,6292.0,3109464.0,0.0,BPCL
2017-02-16,498.0,507.0,496.0,505.0,1.41,2410.0,1213090.0,0.0,BPCL
2017-02-19,505.0,510.0,500.0,510.0,0.99,2266.0,1141330.0,0.0,BPCL
2017-02-20,510.0,510.0,500.0,510.0,0.0,650.0,327600.0,0.0,BPCL
2017-02-21,510.0,518.0,498.0,498.0,-2.35,270.0,135580.0,0.0,BPCL
