published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,stock
2017-01-01,800.0,824.0,808.0,815.0,1.88,12046.0,9813408.0,0.0,CHCL
2017-01-02,815.0,828.0,811.0,818.0,0.37,11263.0,9231338.0,0.0,CHCL
2017-01-03,818.0,820.0,810.0,810.0,-0.98,6109.0,4976721.0,0.0,CHCL
2017-01-04,810.0,810.0,795.0,805.0,-0.62,3779.0,3085465.0,0.0,CHCL
2017-01-05,805.0,811.0,800.0,807.0,0.25,6201.0,4990272.0,0.0,CHCL
2017-01-08,807.0,805.0,798.0,800.0,-0.87,5787.0,4632277.0,0.0,CHCL
2017-01-09,800.0,810.0,797.0,802.0,0.25,3187.0,2557130.0,0.0,CHCL
2017-01-10,802.0,825.0,802.0,820.0,2.24,1654.0,1346482.0,0.0,CHCL
2017-01-11,820.0,821.0,813.0,817.0,-0.37,2318.0,1893073.0,0.0,CHCL
2017-01-12,817.0,820.0,810.0,817.0,0.0,5112.0,4179610.0,0.0,CHCL
2017-01-15,817.0,812.0,807.0,807.0,-1.22,680.0,550490.0,0.0,CHCL
2017-01-16,807.0,815.0,808.0,808.0,0.12,1775.0,1436104.0,0.0,CHCL
2017-01-17,808.0,815.0,801.0,809.0,0.12,3867.0,3123823.0,0.0,CHCL
2017-01-18,809.0,814.0,793.0,806.0,-0.37,2558.0,2064154.0,0.0,CHCL
2017-01-19,806.0,817.0,800.0,817.0,1.36,5854.0,4753587.0,0.0,CHCL
2017-01-22,817.0,820.0,805.0,808.0,-1.1,2233.0,1805990.0,0.0,CHCL
2017-01-23,808.0,820.0,806.0,806.0,-0.25,1208.0,977307.0,0.0,CHCL
2017-01-24,806.0,810.0,794.0,794.0,-1.49,4553.0,3639167.0,0.0,CHCL
2017-01-25,794.0,791.0,765.0,772.0,-2.77,3943.0,3067435.0,0.0,CHCL
2017-01-26,772.0,780.0,758.0,770.0,-0.26,4229.0,3253616.0,0.0,CHCL
