published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,stock
2017-01-01,2800.0,2900.0,2721.0,2748.0,-1.86,10274.0,28559284.0,0.0,NLIC
2017-01-02,2748.0,2755.0,2676.0,2720.0,-1.02,4713.0,12837465.0,0.0,NLIC
2017-01-03,2720.0,2695.0,2613.0,2615.0,-3.86,8199.0,21684748.0,0.0,NLIC
2017-01-04,2615.0,2708.0,2595.0,2670.0,2.1,10465.0,27697796.0,0.0,NLIC
2017-01-05,2670.0,2700.0,2625.0,2650.0,-0.75,6314.0,16770068.0,0.0,NLIC
2017-01-08,2650.0,2665.0,2640.0,2654.0,0.15,11866.0,31475940.0,0.0,NLIC
2017-01-09,2654.0,2785.0,2654.0,2773.0,4.48,10638.0,28806346.0,0.0,NLIC
2017-01-10,2773.0,2900.0,2760.0,2880.0,3.86,11933.0,34172344.0,0.0,NLIC
2017-01-11,2880.0,2904.0,2831.0,2850.0,-1.04,8256.0,23620928.0,0.0,NLIC
2017-01-12,2850.0,2879.0,2831.0,2840.0,-0.35,5891.0,16795320.0,0.0,NLIC
2017-01-15,2840.0,2840.0,2803.0,2805.0,-1.23,6116.0,17223564.0,0.0,NLIC
2017-01-16,2805.0,2805.0,2745.0,2750.0,-1.96,2843.0,7853607.0,0.0,NLIC
2017-01-17,2750.0,2740.0,2700.0,2720.0,-1.09,5444.0,14791300.0,0.0,NLIC
2017-01-18,2720.0,2759.0,2720.0,2740.0,0.74,5383.0,14752305.0,0.0,NLIC
2017-01-19,2740.0,2759.0,2715.0,2739.0,-0.04,4452.0,12151040.0,0.0,NLIC
2017-01-22,2739.0,2750.0,2695.0,2699.0,-1.46,3915.0,10629735.0,0.0,NLIC
2017-01-23,2699.0,2715.0,2660.0,2660.0,-1.44,4332.0,11608215.0,0.0,NLIC
2017-01-24,2660.0,2649.0,2615.0,2621.0,-1.47,5469.0,14359564.0,0.0,NLIC
2017-01-25,2621.0,2601.0,2515.0,2515.0,-4.04,9163.0,23386536.0,0.0,NLIC
2017-01-26,2515.0,2538.0,2466.0,2500.0,-0.6,6836.0,17073462.0,0.0,NLIC
2017-01-30,2500.0,2470.0,2250.0,2255.0,-9.8,12461.0,29050788.0,0.0,NLIC
2017-01-31,2255.0,2349.0,2210.0,2295.0,1.77,9104.0,20548896.0,0.0,NLIC
2017-02-01,2295.0,2400.0,2265.0,2400.0,4.58,5513.0,12874739.0,0.0,NLIC
2017-02-02,2400.0,2480.0,2305.0,2375.0,-1.04,16984.0,39822012.0,0.0,NLIC
2017-02-05,2375.0,2360.0,2274.0,2335.0,-1.68,6808.0,15588676.0,0.0,NLIC
2017-02-06,2335.0,2335.0,2260.0,2285.0,-2.14,3123.0,7160943.0,0.0,NLIC
2017-02-07,2285.0,2330.0,2280.0,2295.0,0.44,9049.0,20745888.0,0.0,NLIC
2017-02-08,2295.0,2290.0,2246.0,2253.0,-1.83,5974.0,13520975.0,0.0,NLIC
2017-02-09,2253.0,2295.0,2200.0,2200.0,-2.35,9307.0,20795264.0,0.0,NLIC
2017-02-12,2200.0,2200.0,2090.0,2090.0,-5.0,9728.0,20701610.0,0.0,NLIC
2017-02-13,2090.0,2193.0,2060.0,2193.0,4.93,8933.0,18694988.0,0.0,NLIC
2017-02-14,2193.0,2200.0,2093.0,2093.0,-4.56,6126.0,13090865.0,0.0,NLIC
2017-02-15,2093.0,2215.0,2110.0,2215.0,5.83,7719.0,16714668.0,0.0,NLIC
2017-02-16,2215.0,2302.0,2170.0,2270.0,2.48,10020.0,22624530.0,0.0,NLIC
2017-02-19,2270.0,2356.0,2135.0,2350.0,3.52,13537.0,31325100.0,0.0,NLIC
2017-02-20,2350.0,2409.0,2255.0,2335.0,-0.64,17969.0,42078872.0,0.0,NLIC
2017-02-21,2335.0,2381.0,2261.0,2280.0,-2.36,8024.0,18500302.0,0.0,NLIC
2017-02-22,2280.0,2300.0,2241.0,2251.0,-1.27,3311.0,7504190.0,0.0,NLIC
2017-02-23,2251.0,2270.0,2201.0,2245.0,-0.27,3139.0,7043547.0,0.0,NLIC
2017-02-26,2245.0,2250.0,2180.0,2187.0,-2.58,3502.0,7688044.0,0.0,NLIC
2017-02-28,2187.0,2219.0,2160.0,2165.0,-1.01,4322.0,9400110.0,0.0,NLIC
2017-03-01,2165.0,2279.0,2194.0,2265.0,4.62,10191.0,22682304.0,0.0,NLIC
2017-03-02,2265.0,2325.0,2282.0,2309.0,1.94,11733.0,27003960.0,0.0,NLIC
2017-03-05,2309.0,2444.0,2340.0,2415.0,4.59,14755.0,35354784.0,0.0,NLIC
2017-03-06,2415.0,2485.0,2412.0,2432.0,0.7,12150.0,29836932.0,0.0,NLIC
2017-03-07,2432.0,2450.0,2330.0,2420.0,-0.49,11856.0,28602404.0,0.0,NLIC
2017-03-09,2420.0,2448.0,2403.0,2415.0,-0.21,24084.0,58658484.0,0.0,NLIC
2017-03-13,1932.0,2035.0,1932.0,2030.0,-15.94,9353.0,18890418.0,0.0,NLIC
2017-03-14,2030.0,2090.0,2046.0,2059.0,1.43,7528.0,15551715.0,0.0,NLIC
2017-03-15,2059.0,2068.0,2030.0,2045.0,-0.68,3825.0,7854775.0,0.0,NLIC
2017-03-16,2045.0,2065.0,2046.0,2056.0,0.54,5120.0,10528669.0,0.0,NLIC
2017-03-19,2056.0,2190.0,2060.0,2186.0,6.32,13017.0,27739088.0,0.0,NLIC
2017-03-20,2186.0,2370.0,2225.0,2370.0,8.42,13605.0,31266754.0,0.0,NLIC
2017-03-21,2370.0,2430.0,2310.0,2350.0,-0.84,23063.0,54478064.0,0.0,NLIC
2017-03-22,2350.0,2390.0,2320.0,2350.0,0.0,11914.0,28152640.0,0.0,NLIC
2017-03-23,2350.0,2350.0,2303.0,2340.0,-0.43,4342.0,10138825.0,0.0,NLIC
2017-03-26,2340.0,2419.0,2350.0,2372.0,1.37,7327.0,17487572.0,0.0,NLIC
2017-03-28,2372.0,2550.0,2395.0,2550.0,7.5,11843.0,28885732.0,0.0,NLIC
2017-03-29,2550.0,2645.0,2465.0,2500.0,-1.96,15310.0,39020504.0,0.0,NLIC
2017-03-30,2500.0,2601.0,2450.0,2523.0,0.92,7619.0,19244780.0,0.0,NLIC
2017-04-02,2523.0,2775.0,2573.0,2729.0,8.16,17676.0,47531744.0,0.0,NLIC
2017-04-03,2729.0,2800.0,2551.0,2576.0,-5.61,16369.0,43585476.0,0.0,NLIC
2017-04-04,2576.0,2600.0,2500.0,2555.0,-0.82,9091.0,23192816.0,0.0,NLIC
2017-04-06,2555.0,2594.0,2500.0,2500.0,-2.15,6822.0,17118616.0,0.0,NLIC
2017-04-09,2500.0,2550.0,2453.0,2474.0,-1.04,7830.0,19428930.0,0.0,NLIC
2017-04-10,2474.0,2550.0,2441.0,2550.0,3.07,8654.0,21483136.0,0.0,NLIC
2017-04-11,2550.0,2600.0,2503.0,2545.0,-0.2,9153.0,23410860.0,0.0,NLIC
2017-04-12,2545.0,2595.0,2481.0,2490.0,-2.16,10475.0,26387644.0,0.0,NLIC
2017-04-13,2490.0,2505.0,2360.0,2490.0,0.0,10173.0,25201344.0,0.0,NLIC
