published_date,open,high,low,close,per_change,traded_quantity,traded_amount,stock
2017-01-01,830.0,845.0,800.0,830.0,1.22,12582.0,10394827.0,NIL
2017-01-02,846.0,851.0,826.0,847.0,2.05,7653.0,6423134.0,NIL
2017-01-03,840.0,840.0,815.0,823.0,-2.83,2624.0,2167134.0,NIL
2017-01-04,820.0,827.0,820.0,823.0,0.0,2740.0,2252740.0,NIL
2017-01-05,830.0,830.0,817.0,818.0,-0.73,2230.0,1831140.0,NIL
2017-01-08,814.0,819.0,809.0,819.0,0.24,1320.0,1077445.0,NIL
2017-01-09,835.0,842.0,810.0,820.0,0.12,1688.0,1393640.0,NIL
2017-01-10,835.0,840.0,830.0,831.0,1.34,2632.0,2197160.0,NIL
2017-01-11,832.5,839.5,828.5,830.0,0.91,2229.0,1856986.0,NIL
2017-01-12,830.0,839.0,827.0,829.0,0.48,1826.0,1516812.0,NIL
2017-01-15,843.0,843.0,827.0,830.0,0.12,600.0,498600.0,NIL
2017-01-16,840.0,840.0,810.0,814.0,-1.93,4540.0,3705450.0,NIL
2017-01-17,804.0,820.0,804.0,808.0,-0.74,2920.0,2375450.0,NIL
2017-01-18,820.0,820.0,820.0,820.0,1.49,500.0,410000.0,NIL
2017-01-19,830.0,830.0,820.0,820.0,0.0,3108.0,2562765.0,NIL
2017-01-22,836.0,836.0,821.0,830.0,1.22,1100.0,908210.0,NIL
2017-01-23,825.0,826.0,799.0,826.0,-0.48,960.0,776540.0,NIL
2017-01-24,810.0,810.0,792.0,799.0,-3.27,3710.0,2966090.0,NIL
2017-01-25,784.0,784.0,765.0,777.0,-2.75,4227.0,3270860.0,NIL
2017-01-26,777.0,777.0,733.0,765.0,-2.7,2535.0,1928115.0,NIL
2017-01-30,741.0,741.0,681.0,681.0,-9.92,1435.0,992335.0,NIL
2017-01-31,668.0,707.0,642.0,669.0,-1.76,2570.0,1727150.0,NIL
2017-02-01,705.0,724.5,678.5,692.0,-1.775,2507.5,1749492.5,NIL
2017-02-02,742.0,742.0,715.0,715.0,-1.79,2445.0,1771835.0,NIL
2017-02-05,705.0,720.0,696.0,696.0,-2.66,310.0,217640.0,NIL
2017-02-06,685.0,690.0,684.0,690.0,-0.86,899.0,616215.0,NIL
2017-02-07,680.0,684.0,671.0,684.0,-0.87,1379.0,931566.0,NIL
2017-02-08,671.0,680.0,660.0,680.0,-0.58,1959.0,1314337.0,NIL
2017-02-09,675.0,680.0,660.0,660.0,-2.94,3454.0,2320780.0,NIL
2017-02-12,648.0,648.0,605.0,608.0,-8.33,4136.0,2551561.0,NIL
2017-02-13,600.0,627.0,568.0,627.0,3.64,5975.0,3558665.0,NIL
2017-02-14,616.0,654.5,596.5,654.5,6.82,4329.0,2683745.5,NIL
2017-02-15,632.0,682.0,625.0,682.0,10.0,2683.0,1808826.0,NIL
2017-02-16,695.0,750.0,685.0,745.0,9.24,13165.0,9949184.0,NIL
2017-02-19,755.0,825.0,726.0,816.0,8.8,12596.0,10078543.0,NIL
2017-02-20,832.0,895.0,825.0,865.0,6.0,21393.0,18458043.0,NIL
2017-02-21,882.0,916.0,820.0,840.0,-2.89,13024.0,11243104.0,NIL
2017-02-22,826.0,839.0,784.0,800.0,-4.76,5673.0,4596884.0,NIL
2017-02-23,790.0,813.0,770.0,790.0,-1.25,2094.0,1661070.0,NIL
2017-02-26,775.0,775.0,750.0,753.0,-4.68,2260.0,1706860.0,NIL
2017-02-28,753.0,760.0,745.0,745.0,-1.06,2687.0,2018742.0,NIL
2017-03-01,759.0,790.0,750.0,790.0,6.04,2710.0,2098155.0,NIL
2017-03-02,800.0,804.0,786.0,799.0,1.14,3791.0,3008751.0,NIL
2017-03-05,800.6,810.0,789.6,801.4,-0.5699999999999998,4674.2,3736748.4,NIL
2017-03-06,800.8,812.0,790.8,802.2,-1.14,4968.6,3979414.2,NIL
2017-03-07,801.0,814.0,792.0,803.0,-1.71,5263.0,4222080.0,NIL
2017-03-09,815.0,825.0,805.0,805.0,0.25,2368.0,1929759.0,NIL
2017-03-13,820.0,820.0,810.0,814.0,1.12,4600.0,3746220.0,NIL
2017-03-14,815.0,815.0,803.0,805.0,-1.11,1238.0,1004646.0,NIL
2017-03-15,805.0,810.0,790.0,800.0,-0.62,5097.0,4083218.0,NIL
2017-03-16,810.0,810.0,800.0,800.0,0.0,2065.0,1659874.0,NIL
2017-03-19,800.0,848.0,800.0,844.0,5.5,4829.0,3997978.0,NIL
2017-03-20,860.0,928.0,855.0,928.0,9.95,24879.0,22440942.0,NIL
2017-03-21,946.0,1000.0,893.0,994.0,7.11,32914.0,31797995.0,NIL
2017-03-22,980.0,1017.0,941.0,941.0,-5.33,19102.0,19372410.0,NIL
2017-03-23,973.25,1015.25,944.0,955.25,-2.595,18254.5,18441173.75,NIL
2017-03-26,953.0,1010.0,953.0,998.0,5.61,15712.0,15647465.0,NIL
2017-03-28,998.0,1097.0,1017.0,1097.0,9.92,11921.0,12791727.0,NIL
2017-03-29,1052.0,1123.5,1043.5,1113.5,6.045,14276.0,15640309.0,NIL
2017-03-30,1106.0,1150.0,1070.0,1130.0,2.17,16631.0,18488891.0,NIL
2017-04-02,1152.0,1243.0,1152.0,1243.0,10.0,3770.0,4683850.0,NIL
2017-04-03,1267.0,1367.0,1267.0,1315.0,5.79,29574.0,39422753.0,NIL
2017-04-04,1278.0,1353.0,1269.6666666666667,1306.6666666666667,3.603333333333333,24052.0,31903367.0,NIL
2017-04-06,1300.0,1325.0,1275.0,1290.0,-0.77,13008.0,16864595.0,NIL
2017-04-09,1315.0,1340.0,1290.0,1299.0,0.7,13230.0,17217602.0,NIL
2017-04-10,1309.0,1309.0,1285.0,1295.0,-0.31,7066.0,9161137.0,NIL
2017-04-11,1302.0,1334.5,1273.0,1286.5,-1.24,11729.0,15224934.0,NIL
2017-04-12,1295.0,1360.0,1261.0,1278.0,-2.17,16392.0,21288731.0,NIL
2017-04-13,1283.75,1332.5,1232.75,1245.5,-3.63,14454.75,18549160.5,NIL
2017-04-16,1250.0,1250.0,1148.0,1148.0,-8.01,8643.0,10330449.0,NIL
2017-04-18,1126.0,1160.0,1061.0,1096.0,-4.53,11799.0,13020000.0,NIL
2017-04-19,1096.0,1188.0,1100.0,1185.0,8.12,12170.0,13996659.0,NIL
2017-04-20,1208.0,1281.0,1208.0,1216.0,2.62,11452.0,14164287.0,NIL
2017-04-23,1254.5,1280.25,1217.0,1219.0,-2.24,8638.0,10747889.25,NIL
2017-04-24,1270.0,1280.0,1220.0,1220.0,-3.86,7700.0,9609090.0,NIL
2017-04-25,1200.0,1244.0,1196.0,1221.0,0.08,4070.0,4964120.0,NIL
