published_date,open,high,low,close,per_change,traded_quantity,traded_amount,stock
2017-01-01,2065.0,2120.0,2053.0,2080.0,0.97,4396.0,9179999.0,SICL
2017-01-02,2120.0,2121.0,2055.0,2076.0,-0.19,5460.0,11413972.0,SICL
2017-01-03,2100.0,2100.0,2005.0,2022.0,-2.7,4799.0,9809255.0,SICL
2017-01-04,2005.0,2060.0,2005.0,2036.0,0.79,3547.0,7203196.0,SICL
2017-01-05,2045.0,2045.0,2025.0,2030.0,-0.29,8309.0,16854060.0,SICL
2017-01-08,2010.0,2060.0,2010.0,2055.0,1.23,1034.0,2104655.0,SICL
2017-01-09,2055.0,2096.0,2055.0,2085.0,1.46,1724.0,3584028.0,SICL
2017-01-10,2090.0,2110.0,2060.0,2095.0,0.48,2555.0,5341367.0,SICL
2017-01-11,2102.5,2120.0,2081.0,2105.0,0.575,2248.5,4724611.5,SICL
2017-01-12,2115.0,2130.0,2102.0,2115.0,0.67,1942.0,4107856.0,SICL
2017-01-15,2120.0,2135.0,2100.0,2135.0,0.76,7776.0,16468105.0,SICL
2017-01-16,2145.0,2145.0,2100.0,2120.0,-0.7,862.0,1827340.0,SICL
2017-01-17,2080.0,2115.0,2080.0,2108.0,-0.57,2719.0,5720642.0,SICL
2017-01-18,2100.0,2138.0,2100.0,2125.0,0.81,4431.0,9413845.0,SICL
2017-01-19,2138.0,2140.0,2100.0,2129.0,0.19,3594.0,7618065.0,SICL
2017-01-22,2130.0,2160.0,2100.0,2125.0,-0.19,3392.0,7209325.0,SICL
2017-01-23,2100.0,2114.0,2071.0,2092.0,-1.79,4394.0,9170582.0,SICL
2017-01-24,2056.0,2070.0,2046.0,2046.0,-1.96,2082.0,4270405.0,SICL
2017-01-25,2030.0,2030.0,1952.0,1960.0,-4.2,7943.0,15720090.0,SICL
2017-01-26,1960.0,2000.0,1885.0,1950.0,-0.51,5285.0,10230835.0,SICL
2017-01-30,1950.0,1950.0,1755.0,1755.0,-10.0,6363.0,11545321.0,SICL
2017-01-31,1720.0,1801.0,1653.0,1770.0,0.85,6295.0,10858627.0,SICL
2017-02-01,1825.0,1903.0,1752.5,1815.0,-0.4449999999999997,6301.0,11532976.5,SICL
2017-02-02,1930.0,2005.0,1852.0,1860.0,-1.74,6307.0,12207326.0,SICL
2017-02-05,1865.0,1898.0,1825.0,1860.0,0.0,1285.0,2385874.0,SICL
2017-02-06,1860.0,1860.0,1790.0,1801.0,-3.17,2129.0,3854244.0,SICL
2017-02-07,1765.0,1785.0,1765.0,1785.0,-0.89,2094.0,3719469.0,SICL
2017-02-08,1750.0,1769.0,1716.0,1730.0,-3.08,4591.0,7956141.0,SICL
2017-02-09,1725.0,1725.0,1635.0,1637.0,-5.38,6316.0,10616899.0,SICL
2017-02-12,1606.0,1648.0,1525.0,1530.0,-6.54,7822.0,12291425.0,SICL
2017-02-13,1500.0,1605.0,1478.0,1600.0,4.58,9207.0,13896216.0,SICL
2017-02-14,1566.0,1659.0,1533.0,1650.5,5.445,6925.0,10801267.5,SICL
2017-02-15,1632.0,1713.0,1588.0,1701.0,6.31,4643.0,7706319.0,SICL
2017-02-16,1730.0,1800.0,1667.0,1800.0,5.82,10441.0,18997009.0,SICL
2017-02-19,1830.0,1904.0,1767.0,1904.0,4.62,11140.0,20600168.0,SICL
2017-02-20,1942.0,2019.0,1880.0,1950.0,2.42,16045.0,31701041.0,SICL
2017-02-21,1986.0,2009.0,1866.0,1900.0,-2.46,8497.0,16469823.0,SICL
2017-02-22,1900.0,1938.0,1850.0,1870.0,-1.58,7874.0,14696996.0,SICL
2017-02-23,1833.0,1871.0,1830.0,1860.0,-0.53,2017.0,3746326.0,SICL
2017-02-26,1825.0,1825.0,1761.0,1761.0,-5.32,6127.0,10983216.0,SICL
